	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
39	15	0.00137406509516589	-0.0360594946450617	0	0.5	0	0.00137406509516589	-0.0360594946450617	NoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	PS
40	16	0.00137411552464332	-0.0360594639834105	0	1	0	0.00137411552464332	-0.0360594639834105	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	DIAG	PS
41	17	0.0309827757804514	0.0929892776041666	0	1	0.5	0.0309827757804514	0.0929892776041666	10	20000	A2	1440	1440	0	300	0.2	PS	LAT
42	18	0.0214732406854167	0.0363254467361117	0	0.5	1	0.0214732406854167	0.0363254467361117	FGr	20000	A2	1440	1440	0	300	0.2	PS	LAT
43	19	0.0118749486152778	-0.0859971730555557	0	0.5	1	0.0118749486152778	-0.0859971730555557	NoCorrection	20000	A2	1440	1440	0	300	0.2	PS	LAT
44	20	0.0118745570368055	-0.0859982232986114	0	0.5	0.5	0.0118745570368055	-0.0859982232986114	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	PS	LAT
45	21	0.00424690831171103	-2.50383892745914e-05	0	0	1	0.00424690831171103	-2.50383892745914e-05	10	20000	A2	1440	1440	0	300	0.2	PS	PS
46	22	0.00418118296315586	-0.00632386547839503	0	0.5	0	0.00418118296315586	-0.00632386547839503	FGr	20000	A2	1440	1440	0	300	0.2	PS	PS
47	23	0.00361720200443672	-0.0100764164930555	0	0	0	0.00361720200443672	-0.0100764164930555	NoCorrection	20000	A2	1440	1440	0	300	0.2	PS	PS
48	24	0.00361717744911265	-0.0100764580497685	0	0.5	0	0.00361717744911265	-0.0100764580497685	LMMNoCorrection	20000	A2	1440	1440	0	300	0.2	PS	PS
49	1	0.0492190039316319	-0.0398009763888869	0	0.5	1	0.0492190039316319	-0.0398009763888869	10	20000	A3	1440	1440	0	300	0.2	LAT	LAT
50	2	0.0430920539732638	-0.112697591944442	0	0	1	0.0430920539732638	-0.112697591944442	FGr	20000	A3	1440	1440	0	300	0.2	LAT	LAT
51	3	0.217757931365972	1.3922990025	0	0	0	0.217757931365972	1.3922990025	NoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	LAT
52	4	0.141251507641312	0.665079807465277	0	0	0	0.141251507641312	0.665079807465277	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	LAT
53	5	0.000306637292756556	-0.002919005640432	0	0.5	0.5	0.000306637292756556	-0.002919005640432	10	20000	A3	1440	1440	0	300	0.2	LAT	PS
54	6	0.000477788377353392	-0.00173533912615731	0	1	0.5	0.000477788377353392	-0.00173533912615731	FGr	20000	A3	1440	1440	0	300	0.2	LAT	PS
55	7	0.00311820100115741	0.0184950311149692	0	0	0	0.00311820100115741	0.0184950311149692	NoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	PS
56	8	0.00157885969877045	0.00734439927662044	0	0.5	1	0.00157885969877045	0.00734439927662044	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	LAT	PS
57	9	0.0166928572628472	0.0647174720138888	0	1	0.5	0.0166928572628472	0.0647174720138888	10	20000	A3	1440	1440	0	300	0.2	DIAG	LAT
58	10	0.0138320605476739	0.00621921958333268	0	0	1	0.0138320605476739	0.00621921958333268	FGr	20000	A3	1440	1440	0	300	0.2	DIAG	LAT
59	11	0.0306501412128476	0.135906889895833	0	0.5	0	0.0306501412128476	0.135906889895833	NoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	LAT
60	12	0.0306501952979172	0.135906557395833	0	1	0.5	0.0306501952979172	0.135906557395833	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	LAT
61	13	-0.000181435778452957	-0.0138395155902778	0	1	0	-0.000181435778452957	-0.0138395155902778	10	20000	A3	1440	1440	0	300	0.2	DIAG	PS
62	14	-0.000690460157783576	-0.0179520651060957	0	1	0	-0.000690460157783576	-0.0179520651060957	FGr	20000	A3	1440	1440	0	300	0.2	DIAG	PS
63	15	-1.86697278742543e-05	-0.0126869909008488	0	1	0	-1.86697278742543e-05	-0.0126869909008488	NoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	PS
64	16	-1.86850461419977e-05	-0.0126869629031636	0	1	0	-1.86850461419977e-05	-0.0126869629031636	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	DIAG	PS
65	17	0.0619142744525519	-0.220444627118055	0	0.5	0.5	0.0619142744525519	-0.220444627118055	10	20000	A3	1440	1440	0	300	0.2	PS	LAT
66	18	0.0585161301572917	-0.171793610833333	0	0	0	0.0585161301572917	-0.171793610833333	FGr	20000	A3	1440	1440	0	300	0.2	PS	LAT
67	19	0.135896895915972	0.557917164270833	0	0	0	0.135896895915972	0.557917164270833	NoCorrection	20000	A3	1440	1440	0	300	0.2	PS	LAT
68	20	0.124984357562153	0.413819443055555	0	0	0	0.124984357562153	0.413819443055555	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	PS	LAT
69	21	0.00428213379390145	0.00131368271412036	0	0	0.5	0.00428213379390145	0.00131368271412036	10	20000	A3	1440	1440	0	300	0.2	PS	PS
70	22	0.00380852475167826	-0.00493121416859569	0	0	0.5	0.00380852475167826	-0.00493121416859569	FGr	20000	A3	1440	1440	0	300	0.2	PS	PS
71	23	0.00644306279432873	0.0249114518962191	0	0	0	0.00644306279432873	0.0249114518962191	NoCorrection	20000	A3	1440	1440	0	300	0.2	PS	PS
72	24	0.00613981258574462	0.0179123172762345	0	0	0	0.00613981258574462	0.0179123172762345	LMMNoCorrection	20000	A3	1440	1440	0	300	0.2	PS	PS
73	1	0.0509764660624998	-0.00018514305555576	0	0	1	0.0509764660624998	-0.00018514305555576	10	20000	A4	1440	1440	0	300	0.2	LAT	LAT
74	2	0.0891905810975694	0.0333977620833334	0	0.5	1	0.0891905810975694	0.0333977620833334	FGr	20000	A4	1440	1440	0	300	0.2	LAT	LAT
75	3	0.263600507738888	1.47381861951389	0	0	0	0.263600507738888	1.47381861951389	NoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	LAT
76	4	0.208713533271527	1.05235723704861	0	0	0	0.208713533271527	1.05235723704861	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	LAT
77	5	-0.00180181919313275	0.0113615900887346	0	0	0	-0.00180181919313275	0.0113615900887346	10	20000	A4	1440	1440	0	300	0.2	LAT	PS
78	6	-0.00188361781711035	0.00517954583333332	0	1	0	-0.00188361781711035	0.00517954583333332	FGr	20000	A4	1440	1440	0	300	0.2	LAT	PS
79	7	-0.00172297578387348	0.00610621648148149	0	1	1	-0.00172297578387348	0.00610621648148149	NoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	PS
80	8	-0.00179286522935958	0.0115688136979167	0	1	0	-0.00179286522935958	0.0115688136979167	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	LAT	PS
81	9	0.0670554455833323	-0.118489758993054	0	0.5	0.5	0.0670554455833323	-0.118489758993054	10	20000	A4	1440	1440	0	300	0.2	DIAG	LAT
82	10	0.0754733173746527	-0.122887309722221	0	0	0.5	0.0754733173746527	-0.122887309722221	FGr	20000	A4	1440	1440	0	300	0.2	DIAG	LAT
83	11	0.236233824598611	1.21162318850694	0	0	0	0.236233824598611	1.21162318850694	NoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	LAT
84	12	0.15932931687421	0.644559033125002	0	0	0	0.15932931687421	0.644559033125002	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	LAT
85	13	0.00302227034992287	0.000809596032021675	0	0	1	0.00302227034992287	0.000809596032021675	10	20000	A4	1440	1440	0	300	0.2	DIAG	PS
86	14	0.00194162151030637	-0.00138741418209876	0	0.5	1	0.00194162151030637	-0.00138741418209876	FGr	20000	A4	1440	1440	0	300	0.2	DIAG	PS
87	15	0.00309540006269291	0.00454944312307099	0	0	1	0.00309540006269291	0.00454944312307099	NoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	PS
88	16	0.00283390310738972	0.000167958005401254	0	0	1	0.00283390310738972	0.000167958005401254	LMMNoCorrection	20000	A4	1440	1440	0	300	0.2	DIAG	PS
89	17	0.0139404888217014	-0.246733458298612	0	1	0	0.0139404888217014	-0.246733458298612	10	20000	A4	1440	1440	0	300	0.2	PS	LAT
