	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
33	16	0.000242252544637342	-5.72877044753003e-05	0	0.8	1	0.000242252544637342	-5.72877044753003e-05	LMMNoCorrection	4000	A2	1440	1440	0	4000		PS	PS
34	17	0.00105998407407408	0.00510506631944444	0	0.2	0.1	0.00105998407407408	0.00510506631944444	LMMNoCorrection	2000	A2	1440	1440	0	2000		PS	PS
35	1	-2.49966113040092e-05	0.0252764050405093	0	1	0	-2.49966113040092e-05	0.0252764050405093	LMMNoCorrection	20000	A3	1440	1440	0	20000		PS	PS
36	2	0.00292506578682484	0.0114234795293211	0	0.6	0.1	0.00292506578682484	0.0114234795293211	LMMNoCorrection	19000	A3	1440	1440	0	19000		PS	PS
37	3	-0.000522984614081781	0.00363757782600311	0	1	0.6	-0.000522984614081781	0.00363757782600311	LMMNoCorrection	18000	A3	1440	1440	0	18000		PS	PS
38	4	-0.00181591638859954	-0.000328414739583357	0	0.4	1	-0.00181591638859954	-0.000328414739583357	LMMNoCorrection	17000	A3	1440	1440	0	17000		PS	PS
39	5	0.00473555794396217	0.0279126414930555	0	0.2	0	0.00473555794396217	0.0279126414930555	LMMNoCorrection	16000	A3	1440	1440	0	16000		PS	PS
40	6	0.00501605113348765	0.021818574996142	0	0.1	0	0.00501605113348765	0.021818574996142	LMMNoCorrection	15000	A3	1440	1440	0	15000		PS	PS
41	7	-0.00192111690873844	0.00512395616319445	0	0.5	0.5	-0.00192111690873844	0.00512395616319445	LMMNoCorrection	14000	A3	1440	1440	0	14000		PS	PS
42	8	-9.37693042052486e-05	0.0127270509876543	0	0.9	0	-9.37693042052486e-05	0.0127270509876543	LMMNoCorrection	13000	A3	1440	1440	0	13000		PS	PS
43	9	0.00134992210484318	0.00687034138310181	0	0.5	0.3	0.00134992210484318	0.00687034138310181	LMMNoCorrection	12000	A3	1440	1440	0	12000		PS	PS
44	10	-0.000343915644000758	0.00589946691936731	0	0.4	0.4	-0.000343915644000758	0.00589946691936731	LMMNoCorrection	11000	A3	1440	1440	0	11000		PS	PS
45	11	-0.000682288000385787	0.0087290498919753	0	0.8	0	-0.000682288000385787	0.0087290498919753	LMMNoCorrection	10000	A3	1440	1440	0	10000		PS	PS
46	12	0.00152136868447146	-0.00179454576774692	0	0.1	0.7	0.00152136868447146	-0.00179454576774692	LMMNoCorrection	9000	A3	1440	1440	0	9000		PS	PS
47	13	-0.000240978425733021	0.0148068396875	0	0.9	0	-0.000240978425733021	0.0148068396875	LMMNoCorrection	8000	A3	1440	1440	0	8000		PS	PS
48	14	-0.00233943711554784	0.00071637610532408	0	0	0.8	-0.00233943711554784	0.00071637610532408	LMMNoCorrection	7000	A3	1440	1440	0	7000		PS	PS
49	15	0.0019788027847222	0.00298968865933641	0	0.3	0.4	0.0019788027847222	0.00298968865933641	LMMNoCorrection	6000	A3	1440	1440	0	6000		PS	PS
50	16	0.00178623108854167	0.02323365890625	0	0.2	0	0.00178623108854167	0.02323365890625	LMMNoCorrection	4000	A3	1440	1440	0	4000		PS	PS
51	17	0.000616023755015434	0.00623619724151232	0	0.6	0	0.000616023755015434	0.00623619724151232	LMMNoCorrection	2000	A3	1440	1440	0	2000		PS	PS
52	1	-0.000836140171508486	0.00237630940779316	0	0.9	0.6	-0.000836140171508486	0.00237630940779316	LMMNoCorrection	20000	A4	1440	1440	0	20000		PS	PS
53	2	-0.000241830566936774	-0.00574668582947533	0	1	0.3	-0.000241830566936774	-0.00574668582947533	LMMNoCorrection	19000	A4	1440	1440	0	19000		PS	PS
54	3	-0.00289073764446373	0.0103125709047066	0	0.6	0.2	-0.00289073764446373	0.0103125709047066	LMMNoCorrection	18000	A4	1440	1440	0	18000		PS	PS
55	4	0.00207860660879631	0.0242019149459877	0	0.7	0	0.00207860660879631	0.0242019149459877	LMMNoCorrection	17000	A4	1440	1440	0	17000		PS	PS
56	5	0.00289682023451006	0.0283789261149691	0	0.6	0	0.00289682023451006	0.0283789261149691	LMMNoCorrection	16000	A4	1440	1440	0	16000		PS	PS
57	6	0.00186636657162424	-0.00152582368441359	0	0.5	0.7	0.00186636657162424	-0.00152582368441359	LMMNoCorrection	15000	A4	1440	1440	0	15000		PS	PS
58	7	-0.00222494010564235	0.00150180766782407	0	0.5	0.7	-0.00222494010564235	0.00150180766782407	LMMNoCorrection	14000	A4	1440	1440	0	14000		PS	PS
59	8	-0.000968604801427464	-0.00347890702932099	0	0.5	0.2	-0.000968604801427464	-0.00347890702932099	LMMNoCorrection	13000	A4	1440	1440	0	13000		PS	PS
60	9	-0.00266275043063271	0.007798923753858	0	0.4	0.1	-0.00266275043063271	0.007798923753858	LMMNoCorrection	12000	A4	1440	1440	0	12000		PS	PS
61	10	-4.80344498456663e-05	0.0135953008699846	0	1	0.1	-4.80344498456663e-05	0.0135953008699846	LMMNoCorrection	11000	A4	1440	1440	0	11000		PS	PS
62	11	-0.00309447152218366	-0.00147202709297839	0	0	0.8	-0.00309447152218366	-0.00147202709297839	LMMNoCorrection	10000	A4	1440	1440	0	10000		PS	PS
63	12	0.00282987652006175	0.0109796318518518	0	0	0	0.00282987652006175	0.0109796318518518	LMMNoCorrection	9000	A4	1440	1440	0	9000		PS	PS
64	13	0.000472883497029321	0.00969377426311725	0	1	0	0.000472883497029321	0.00969377426311725	LMMNoCorrection	8000	A4	1440	1440	0	8000		PS	PS
65	14	0.00144493759880402	0.0135619457310957	0	0.5	0	0.00144493759880402	0.0135619457310957	LMMNoCorrection	7000	A4	1440	1440	0	7000		PS	PS
66	15	0.00272979055852624	0.0104296465374229	0	0	0	0.00272979055852624	0.0104296465374229	LMMNoCorrection	6000	A4	1440	1440	0	6000		PS	PS
67	16	0.000832268630208347	0.0103228070428241	0	0.7	0	0.000832268630208347	0.0103228070428241	LMMNoCorrection	4000	A4	1440	1440	0	4000		PS	PS
68	17	0.0013649882984182	0.0140956186149691	0	0	0	0.0013649882984182	0.0140956186149691	LMMNoCorrection	2000	A4	1440	1440	0	2000		PS	PS
69	1	0.00413492190540122	0.0253732608449075	0	0	0	0.00413492190540122	0.0253732608449075	LMMNoCorrection	20000	A5	1440	1440	0	20000		PS	PS
70	2	0.000913329464313277	0.0266723781365741	0	0.6	0	0.000913329464313277	0.0266723781365741	LMMNoCorrection	19000	A5	1440	1440	0	19000		PS	PS
71	3	0.00558670646576004	0.0179687897280092	0	0	0	0.00558670646576004	0.0179687897280092	LMMNoCorrection	18000	A5	1440	1440	0	18000		PS	PS
72	4	0.00264409217094909	0.0151173506520063	0	0.2	0	0.00264409217094909	0.0151173506520063	LMMNoCorrection	17000	A5	1440	1440	0	17000		PS	PS
73	5	0.00294555624604555	0.0253938136554784	0	0.1	0	0.00294555624604555	0.0253938136554784	LMMNoCorrection	16000	A5	1440	1440	0	16000		PS	PS
74	6	4.29172797260781e-05	0.0129408170119599	0	1	0	4.29172797260781e-05	0.0129408170119599	LMMNoCorrection	15000	A5	1440	1440	0	15000		PS	PS
75	7	-0.000238187526728404	0.0019757994810957	0	1	0.9	-0.000238187526728404	0.0019757994810957	LMMNoCorrection	14000	A5	1440	1440	0	14000		PS	PS
76	8	-0.00098316421691743	-0.00159318064621926	0	0.8	0.9	-0.00098316421691743	-0.00159318064621926	LMMNoCorrection	13000	A5	1440	1440	0	13000		PS	PS
77	9	0.000969639691049365	0.00792900340663585	0	0.8	0.2	0.000969639691049365	0.00792900340663585	LMMNoCorrection	12000	A5	1440	1440	0	12000		PS	PS
78	10	-5.50991979166683e-05	0.00961399427083342	0	0.9	0.1	-5.50991979166683e-05	0.00961399427083342	LMMNoCorrection	11000	A5	1440	1440	0	11000		PS	PS
79	11	-0.000735547154810953	0.00424604706983021	0	0.4	0.4	-0.000735547154810953	0.00424604706983021	LMMNoCorrection	10000	A5	1440	1440	0	10000		PS	PS
80	12	0.00132587693726849	0.0161204125250772	0	0.5	0	0.00132587693726849	0.0161204125250772	LMMNoCorrection	9000	A5	1440	1440	0	9000		PS	PS
81	13	-0.00164405245640433	0.0114773640258487	0	0.3	0	-0.00164405245640433	0.0114773640258487	LMMNoCorrection	8000	A5	1440	1440	0	8000		PS	PS
82	14	0.00359305337731482	0.0110932060821759	0	0	0	0.00359305337731482	0.0110932060821759	LMMNoCorrection	7000	A5	1440	1440	0	7000		PS	PS
83	15	-0.00101808495756174	0.00435191939429012	0	0.5	0.3	-0.00101808495756174	0.00435191939429012	LMMNoCorrection	6000	A5	1440	1440	0	6000		PS	PS
84	16	0.00145213217021605	0.0115267995331791	0	0.1	0	0.00145213217021605	0.0115267995331791	LMMNoCorrection	4000	A5	1440	1440	0	4000		PS	PS
85	17	-0.000240466177083335	0.00734387196373459	0	0.8	0	-0.000240466177083335	0.00734387196373459	LMMNoCorrection	2000	A5	1440	1440	0	2000		PS	PS
86	1	0.0053135521956404	0.00441039591820994	0	0	0.7	0.0053135521956404	0.00441039591820994	LMMNoCorrection	20000	A6	1440	1440	0	20000		PS	PS
87	2	0.00271465890644291	0.0090822042052468	0	0.6	0.1	0.00271465890644291	0.0090822042052468	LMMNoCorrection	19000	A6	1440	1440	0	19000		PS	PS
88	3	0.00234384447350174	0.00545601461612655	0	0.8	0.5	0.00234384447350174	0.00545601461612655	LMMNoCorrection	18000	A6	1440	1440	0	18000		PS	PS
89	4	0.00443198090329862	0.0178832173823301	0	0.2	0.1	0.00443198090329862	0.0178832173823301	LMMNoCorrection	17000	A6	1440	1440	0	17000		PS	PS
90	5	0.000821488750192876	0.0214083935609568	0	0.8	0	0.000821488750192876	0.0214083935609568	LMMNoCorrection	16000	A6	1440	1440	0	16000		PS	PS
91	6	0.000947611849807097	0.00160216529706791	0	0.7	0.8	0.000947611849807097	0.00160216529706791	LMMNoCorrection	15000	A6	1440	1440	0	15000		PS	PS
92	7	0.00285697603138505	-0.0022516845679013	0	0.2	0.6	0.00285697603138505	-0.0022516845679013	LMMNoCorrection	14000	A6	1440	1440	0	14000		PS	PS
93	8	-0.000790319818136546	0.00439272527970679	0	0.3	0.4	-0.000790319818136546	0.00439272527970679	LMMNoCorrection	13000	A6	1440	1440	0	13000		PS	PS
94	9	0.00262518498528166	0.0136746416917438	0	0.5	0	0.00262518498528166	0.0136746416917438	LMMNoCorrection	12000	A6	1440	1440	0	12000		PS	PS
95	10	0.00256940650852623	0.0237491085570988	0	0.3	0	0.00256940650852623	0.0237491085570988	LMMNoCorrection	11000	A6	1440	1440	0	11000		PS	PS
96	11	-0.00339881114382717	0.00060745140046296	0	0	0.8	-0.00339881114382717	0.00060745140046296	LMMNoCorrection	10000	A6	1440	1440	0	10000		PS	PS
97	12	-0.000431462535918241	0.00142758489197535	0	0.8	0.9	-0.000431462535918241	0.00142758489197535	LMMNoCorrection	9000	A6	1440	1440	0	9000		PS	PS
98	13	-0.00256072957484566	-0.0113979205497685	0	0.4	0	-0.00256072957484566	-0.0113979205497685	LMMNoCorrection	8000	A6	1440	1440	0	8000		PS	PS
99	14	0.00173411408648532	0.0055492735744599	0	0	0.2	0.00173411408648532	0.0055492735744599	LMMNoCorrection	7000	A6	1440	1440	0	7000		PS	PS
100	15	-0.00174910409548612	0.00311661576388893	0	0.4	0.3	-0.00174910409548612	0.00311661576388893	LMMNoCorrection	6000	A6	1440	1440	0	6000		PS	PS
101	16	-0.00114407389423418	0.00659433385416667	0	0.4	0	-0.00114407389423418	0.00659433385416667	LMMNoCorrection	4000	A6	1440	1440	0	4000		PS	PS
102	17	0.000714168318248456	0.00952213034336423	0	0.4	0	0.000714168318248456	0.00952213034336423	LMMNoCorrection	2000	A6	1440	1440	0	2000		PS	PS
103	1	0.00201884106258293	-0.0144852836805556	0	0.5	0.1	0.00201884106258293	-0.0144852836805556	LMMNoCorrection	20000	A7	1440	1440	0	20000		PS	PS
104	2	-0.00225928685167825	-0.00762918564236111	0	0.4	0.4	-0.00225928685167825	-0.00762918564236111	LMMNoCorrection	19000	A7	1440	1440	0	19000		PS	PS
105	3	0.000773397749016182	0.0117225313541667	0	1	0	0.000773397749016182	0.0117225313541667	LMMNoCorrection	18000	A7	1440	1440	0	18000		PS	PS
106	4	-0.00181310425607636	0.0136282245563272	0	0.4	0	-0.00181310425607636	0.0136282245563272	LMMNoCorrection	17000	A7	1440	1440	0	17000		PS	PS
107	5	0.00115104276197919	0.0165914547029321	0	0.6	0	0.00115104276197919	0.0165914547029321	LMMNoCorrection	16000	A7	1440	1440	0	16000		PS	PS
108	6	0.00110845368939045	0.0111032318614969	0	0.7	0.1	0.00110845368939045	0.0111032318614969	LMMNoCorrection	15000	A7	1440	1440	0	15000		PS	PS
109	7	0.00312025964167053	0.0128982102314815	0	0.1	0	0.00312025964167053	0.0128982102314815	LMMNoCorrection	14000	A7	1440	1440	0	14000		PS	PS
110	8	0.00353256538811728	0.0183653539718364	0	0	0	0.00353256538811728	0.0183653539718364	LMMNoCorrection	13000	A7	1440	1440	0	13000		PS	PS
111	9	0.00276727920206404	0.0057822743460649	0	0.3	0.2	0.00276727920206404	0.0057822743460649	LMMNoCorrection	12000	A7	1440	1440	0	12000		PS	PS
112	10	0.00267252939776234	0.00912183319830236	0	0.1	0.2	0.00267252939776234	0.00912183319830236	LMMNoCorrection	11000	A7	1440	1440	0	11000		PS	PS
113	11	0.000462121542438271	0.0134151606693672	0	0.9	0	0.000462121542438271	0.0134151606693672	LMMNoCorrection	10000	A7	1440	1440	0	10000		PS	PS
114	12	-0.00116989334047067	0.00630157774305555	0	0.3	0.1	-0.00116989334047067	0.00630157774305555	LMMNoCorrection	9000	A7	1440	1440	0	9000		PS	PS
115	13	0.000383536274537052	0.012161041251929	0	1	0	0.000383536274537052	0.012161041251929	LMMNoCorrection	8000	A7	1440	1440	0	8000		PS	PS
116	14	0.000307321697665892	0.00640769550733029	0	0.9	0.1	0.000307321697665892	0.00640769550733029	LMMNoCorrection	7000	A7	1440	1440	0	7000		PS	PS
117	15	0.00590248966531635	0.00614422537229936	0	0	0.1	0.00590248966531635	0.00614422537229936	LMMNoCorrection	6000	A7	1440	1440	0	6000		PS	PS
118	16	0.000618023253813674	0.00849960991126544	0	0.6	0.1	0.000618023253813674	0.00849960991126544	LMMNoCorrection	4000	A7	1440	1440	0	4000		PS	PS
119	17	0.00146933473485726	0.00864485671296297	0	0	0	0.00146933473485726	0.00864485671296297	LMMNoCorrection	2000	A7	1440	1440	0	2000		PS	PS
120	1	0.00128035577382334	0.00411914458333331	0	0.5	0.9	0.00128035577382334	0.00411914458333331	LMMNoCorrection	20000	A8	1440	1440	0	20000		PS	PS
121	2	-0.00340236399020061	-0.00760767508487657	0	0.3	0.5	-0.00340236399020061	-0.00760767508487657	LMMNoCorrection	19000	A8	1440	1440	0	19000		PS	PS
122	3	0.00181246388950618	0.0291553442611883	0	0.3	0	0.00181246388950618	0.0291553442611883	LMMNoCorrection	18000	A8	1440	1440	0	18000		PS	PS
123	4	0.00155668251552855	0.0215451906809413	0	0.4	0	0.00155668251552855	0.0215451906809413	LMMNoCorrection	17000	A8	1440	1440	0	17000		PS	PS
124	5	0.000906623112268477	0.00195289484567898	0	0.7	0.9	0.000906623112268477	0.00195289484567898	LMMNoCorrection	16000	A8	1440	1440	0	16000		PS	PS
125	6	-0.00122759069948303	0.0103949927642747	0	0.6	0.1	-0.00122759069948303	0.0103949927642747	LMMNoCorrection	15000	A8	1440	1440	0	15000		PS	PS
126	7	0.00348484378836805	0.0113505035011574	0	0.2	0.1	0.00348484378836805	0.0113505035011574	LMMNoCorrection	14000	A8	1440	1440	0	14000		PS	PS
127	8	-0.000623258010802462	0.00896418559220676	0	0.6	0.2	-0.000623258010802462	0.00896418559220676	LMMNoCorrection	13000	A8	1440	1440	0	13000		PS	PS
128	9	0.000692332799807121	0.0148364570177469	0	0.7	0	0.000692332799807121	0.0148364570177469	LMMNoCorrection	12000	A8	1440	1440	0	12000		PS	PS
129	10	-0.00127900423148147	0.00932114422646605	0	0.5	0.1	-0.00127900423148147	0.00932114422646605	LMMNoCorrection	11000	A8	1440	1440	0	11000		PS	PS
130	11	-3.73759085648245e-05	0.00598948409529319	0	1	0.2	-3.73759085648245e-05	0.00598948409529319	LMMNoCorrection	10000	A8	1440	1440	0	10000		PS	PS
131	12	0.00295246850515049	0.00665401509259255	0	0.3	0.1	0.00295246850515049	0.00665401509259255	LMMNoCorrection	9000	A8	1440	1440	0	9000		PS	PS
132	13	-0.0016332445699074	0.0222807029918982	0	0.4	0	-0.0016332445699074	0.0222807029918982	LMMNoCorrection	8000	A8	1440	1440	0	8000		PS	PS
133	14	0.00171585148225307	0.0141534346141975	0	0.4	0	0.00171585148225307	0.0141534346141975	LMMNoCorrection	7000	A8	1440	1440	0	7000		PS	PS
134	15	0.00338682701415895	0.00318157438657409	0	0.1	0.5	0.00338682701415895	0.00318157438657409	LMMNoCorrection	6000	A8	1440	1440	0	6000		PS	PS
135	16	0.000312573636851852	0.0107092389467593	0	0.8	0	0.000312573636851852	0.0107092389467593	LMMNoCorrection	4000	A8	1440	1440	0	4000		PS	PS
136	17	0.00107005249305555	0.00617167953317897	0	0.3	0	0.00107005249305555	0.00617167953317897	LMMNoCorrection	2000	A8	1440	1440	0	2000		PS	PS
137	1	0.00135964958182872	0.0218718937229939	0	0.4	0	0.00135964958182872	0.0218718937229939	LMMNoCorrection	20000	A9	1440	1440	0	20000		PS	PS
138	2	-0.000958793885030835	0.000125648466435227	0	0.4	1	-0.000958793885030835	0.000125648466435227	LMMNoCorrection	19000	A9	1440	1440	0	19000		PS	PS
139	3	0.000380645030748456	0.0106759031057099	0	0.9	0	0.000380645030748456	0.0106759031057099	LMMNoCorrection	18000	A9	1440	1440	0	18000		PS	PS
140	4	0.00178874759180172	0.0362950120042438	0	0.5	0	0.00178874759180172	0.0362950120042438	LMMNoCorrection	17000	A9	1440	1440	0	17000		PS	PS
141	5	0.000667752586516232	0.00772596655285504	0	0.8	0.5	0.000667752586516232	0.00772596655285504	LMMNoCorrection	16000	A9	1440	1440	0	16000		PS	PS
142	6	0.00324956262237653	0.0107596343287036	0	0.1	0	0.00324956262237653	0.0107596343287036	LMMNoCorrection	15000	A9	1440	1440	0	15000		PS	PS
143	7	0.00473116694135995	0.0244410342052469	0	0.1	0	0.00473116694135995	0.0244410342052469	LMMNoCorrection	14000	A9	1440	1440	0	14000		PS	PS
144	8	0.00568667908773148	0.016339315003858	0	0.1	0	0.00568667908773148	0.016339315003858	LMMNoCorrection	13000	A9	1440	1440	0	13000		PS	PS
145	9	0.00111886882590663	0.0125970851427469	0	0.6	0	0.00111886882590663	0.0125970851427469	LMMNoCorrection	12000	A9	1440	1440	0	12000		PS	PS
