	V1	num	avg_r2	lowerci	upperci
1	1	100	0.363094979230935	0.306848838179327	0.419341120282543
2	2	100	0.784565312659553	0.782175819592062	0.786954805727045
3	3	100	0.884204540201604	0.88301463861668	0.885394441786529
4	4	100	0.8843799704507	0.883192718272857	0.885567222628543
5	5	100	0.884501017527236	0.883312112679668	0.885689922374805
6	6	100	0.884627707999009	0.883439979899923	0.885815436098094
7	7	100	0.884736773179292	0.883545567829694	0.88592797852889
8	8	100	0.890048964390605	0.888571988647093	0.891525940134117
9	9	100	0.894629596839027	0.893272317049236	0.895986876628817
10	10	100	0.899546373458275	0.898466468269008	0.900626278647542
