	V1	num	avg_r2	lowerci	upperci
1	1	100	0.0253488644211415	0.0214829632858668	0.0292147655564162
2	2	100	0.0566253720532997	0.0562424288211649	0.0570083152854346
3	3	100	0.0850547850467945	0.0845475747107298	0.0855619953828592
4	4	100	0.0851828924665723	0.084675973310567	0.0856898116225776
5	5	100	0.0853332765112979	0.0848265670761944	0.0858399859464014
6	6	100	0.0854972623938291	0.0849889030493722	0.0860056217382861
7	7	100	0.0856854891231168	0.0851715250846502	0.0861994531615835
8	8	100	0.105231124257851	0.101613384820038	0.108848863695664
9	9	100	0.119249298475175	0.115800206852074	0.122698390098276
10	10	100	0.135673036215446	0.132640818770023	0.138705253660869
11	11	100	0.157632553406704	0.153390559914353	0.161874546899054
12	12	100	0.183387505321314	0.179381885819311	0.187393124823317
13	13	100	0.208312693444626	0.202508982886283	0.214116404002969
14	14	100	0.23373308356037	0.22745782727872	0.24000833984202
15	15	100	0.255236559763035	0.24833874709138	0.26213437243469
16	16	100	0.281010304907277	0.27292962580157	0.289090984012984
17	17	100	0.317840357852868	0.308858422541295	0.326822293164441
18	18	100	0.349712230090773	0.342532550492899	0.356891909688646
19	19	100	0.365297245431417	0.35837059665086	0.372223894211975
20	20	100	0.385115873714136	0.37816724443278	0.392064502995492
21	21	100	0.403302216419633	0.396335866110166	0.410268566729099
22	22	100	0.41832193060743	0.411399412363628	0.425244448851232
23	23	100	0.430806267196679	0.424458522511635	0.437154011881723
24	24	100	0.440794799091173	0.435165082743997	0.446424515438348
25	25	100	0.452607550674518	0.447250107283379	0.457964994065657
26	26	100	0.463877747732347	0.458122962990527	0.469632532474168
27	27	100	0.477914777007779	0.471741844692243	0.484087709323314
28	28	100	0.493224370263756	0.486761057990157	0.499687682537355
29	29	100	0.511255352086761	0.504255193234574	0.518255510938947
30	30	100	0.52638542625615	0.51902216149579	0.53374869101651
31	31	100	0.545696957577794	0.538404089392983	0.552989825762605
32	32	100	0.55914442767492	0.552117769023176	0.566171086326665
33	33	100	0.570444611942726	0.563883412720312	0.57700581116514
34	34	100	0.578055755878865	0.57207987679664	0.58403163496109
35	35	100	0.583388585327107	0.577765480436355	0.589011690217859
36	36	100	0.587771688391937	0.58239654824444	0.593146828539434
37	37	100	0.592119355970333	0.586907723267598	0.597330988673068
38	38	100	0.595208640783857	0.590178740174523	0.600238541393192
39	39	100	0.598031615998899	0.593119756332612	0.602943475665186
40	40	100	0.600559391117187	0.595805373661489	0.605313408572886
41	41	100	0.602874836197197	0.598196714504868	0.607552957889526
42	42	100	0.605268122823947	0.600657924701654	0.60987832094624
43	43	100	0.607563396598359	0.603232102682642	0.611894690514076
44	44	100	0.609491053780718	0.605192614715365	0.613789492846071
45	45	100	0.611893556426187	0.607755753296673	0.616031359555701
46	46	100	0.613810925341233	0.609682162663462	0.617939688019005
47	47	100	0.615781578314959	0.611644241476445	0.619918915153472
48	48	100	0.617495964364752	0.613329856741835	0.621662071987668
49	49	100	0.618876060361845	0.614777100300373	0.622975020423316
50	50	100	0.620439467788819	0.616302522405421	0.624576413172217
51	51	100	0.622077383041369	0.618001179716852	0.626153586365886
52	52	100	0.62352785331502	0.6195810268813	0.62747467974874
53	53	100	0.624930923874044	0.621057635645526	0.628804212102563
54	54	100	0.626663845532343	0.622750906839859	0.630576784224826
55	55	100	0.628370131901177	0.624485375204571	0.632254888597783
56	56	100	0.629495931484462	0.625654971328399	0.633336891640524
57	57	100	0.631177482387615	0.627339561024493	0.635015403750737
