	error	rep	config	gwas_size	test_size	L	type
1	0.966263716596881	D7	C1	1000	1000	500	FGr
2	0.924909987790538	D7	C1	1000	1000	810	FGr
3	0.882607128712867	D7	C1	1000	1000	1320	FGr
4	0.797861714105281	D7	C1	1000	1000	2100	FGr
5	0.733915841333371	D7	C1	1000	1000	3400	FGr
6	0.608026863320695	D7	C1	1000	1000	5500	FGr
7	0.494850915490171	D7	C1	1000	1000	9000	FGr
8	0.383221263588878	D7	C1	1000	1000	14600	FGr
9	0.30041506273277	D7	C1	1000	1000	23600	FGr
10	0.210519492181058	D7	C1	1000	1000	38200	FGr
11	0.132363182271703	D7	C1	1000	1000	61800	FGr
12	0.090852986352574	D7	C1	1000	1000	1e+05	FGr
13	0.986224857234648	D7	C1	1000	1000	500	PC1
14	0.99935628004198	D7	C1	1000	1000	810	PC1
15	0.961382835315196	D7	C1	1000	1000	1320	PC1
16	0.982236242719581	D7	C1	1000	1000	2100	PC1
17	0.832183333249341	D7	C1	1000	1000	3400	PC1
18	0.569394139936825	D7	C1	1000	1000	5500	PC1
19	0.36252475907153	D7	C1	1000	1000	9000	PC1
20	0.260631018624418	D7	C1	1000	1000	14600	PC1
21	0.165571346087737	D7	C1	1000	1000	23600	PC1
22	0.114038866321649	D7	C1	1000	1000	38200	PC1
23	0.0669113153986029	D7	C1	1000	1000	61800	PC1
24	0.0415590283507833	D7	C1	1000	1000	1e+05	PC1
