	error	rep	config	gwas_size	test_size	L	type
1	0.951995853546985	D98	C1	1000	1000	500	FGr
2	0.927902576965641	D98	C1	1000	1000	810	FGr
3	0.912797216278899	D98	C1	1000	1000	1320	FGr
4	0.823109857276832	D98	C1	1000	1000	2100	FGr
5	0.694607810267739	D98	C1	1000	1000	3400	FGr
6	0.661519298767666	D98	C1	1000	1000	5500	FGr
7	0.487322306614901	D98	C1	1000	1000	9000	FGr
8	0.413913425516144	D98	C1	1000	1000	14600	FGr
9	0.287620643863163	D98	C1	1000	1000	23600	FGr
10	0.200977233271432	D98	C1	1000	1000	38200	FGr
11	0.143815250456385	D98	C1	1000	1000	61800	FGr
12	0.0922574257123875	D98	C1	1000	1000	1e+05	FGr
13	0.987329958271568	D98	C1	1000	1000	500	PC1
14	0.982966275209865	D98	C1	1000	1000	810	PC1
15	0.982895078944197	D98	C1	1000	1000	1320	PC1
16	0.999269932114368	D98	C1	1000	1000	2100	PC1
17	0.730920794422184	D98	C1	1000	1000	3400	PC1
18	0.642599525083203	D98	C1	1000	1000	5500	PC1
19	0.424476535176557	D98	C1	1000	1000	9000	PC1
20	0.280352410235023	D98	C1	1000	1000	14600	PC1
21	0.184143587660554	D98	C1	1000	1000	23600	PC1
22	0.10738902697219	D98	C1	1000	1000	38200	PC1
23	0.0731503933211751	D98	C1	1000	1000	61800	PC1
24	0.0428865517732855	D98	C1	1000	1000	1e+05	PC1
