	error	rep	config	gwas_size	test_size	L	type
1	0.926423724204027	D42	C1	1000	1000	500	FGr
2	0.909026375498377	D42	C1	1000	1000	810	FGr
3	0.896009083871414	D42	C1	1000	1000	1320	FGr
4	0.842723845594126	D42	C1	1000	1000	2100	FGr
5	0.744415299147771	D42	C1	1000	1000	3400	FGr
6	0.610089872126635	D42	C1	1000	1000	5500	FGr
7	0.552732747463998	D42	C1	1000	1000	9000	FGr
8	0.412636252735498	D42	C1	1000	1000	14600	FGr
9	0.285540855215884	D42	C1	1000	1000	23600	FGr
10	0.218910770062166	D42	C1	1000	1000	38200	FGr
11	0.142776545924629	D42	C1	1000	1000	61800	FGr
12	0.0937267851868721	D42	C1	1000	1000	1e+05	FGr
13	0.989826132954858	D42	C1	1000	1000	500	PC1
14	0.992355191420443	D42	C1	1000	1000	810	PC1
15	0.950384254655152	D42	C1	1000	1000	1320	PC1
16	0.976616566847615	D42	C1	1000	1000	2100	PC1
17	0.747505002604542	D42	C1	1000	1000	3400	PC1
18	0.663186327034806	D42	C1	1000	1000	5500	PC1
19	0.387224767436858	D42	C1	1000	1000	9000	PC1
20	0.276293692733133	D42	C1	1000	1000	14600	PC1
21	0.169537924424601	D42	C1	1000	1000	23600	PC1
22	0.103209807731498	D42	C1	1000	1000	38200	PC1
23	0.0655749218536401	D42	C1	1000	1000	61800	PC1
24	0.0428362887594504	D42	C1	1000	1000	1e+05	PC1
