	error	rep	config	gwas_size	test_size	L	type
1	0.92509748850636	D24	C1	1000	1000	500	FGr
2	0.906073604084115	D24	C1	1000	1000	810	FGr
3	0.87636393584463	D24	C1	1000	1000	1320	FGr
4	0.811244522878268	D24	C1	1000	1000	2100	FGr
5	0.797790393230011	D24	C1	1000	1000	3400	FGr
6	0.587420673881184	D24	C1	1000	1000	5500	FGr
7	0.514795847805993	D24	C1	1000	1000	9000	FGr
8	0.412480884211268	D24	C1	1000	1000	14600	FGr
9	0.318928442050845	D24	C1	1000	1000	23600	FGr
10	0.212057029240609	D24	C1	1000	1000	38200	FGr
11	0.137248083465414	D24	C1	1000	1000	61800	FGr
12	0.09311884447581	D24	C1	1000	1000	1e+05	FGr
13	0.999763818722493	D24	C1	1000	1000	500	PC1
14	0.998433986395645	D24	C1	1000	1000	810	PC1
15	0.971267335932858	D24	C1	1000	1000	1320	PC1
16	0.95058825242438	D24	C1	1000	1000	2100	PC1
17	0.939594927819961	D24	C1	1000	1000	3400	PC1
18	0.53209763185953	D24	C1	1000	1000	5500	PC1
19	0.38447244854543	D24	C1	1000	1000	9000	PC1
20	0.292533773245706	D24	C1	1000	1000	14600	PC1
21	0.176777659028014	D24	C1	1000	1000	23600	PC1
22	0.11442867128819	D24	C1	1000	1000	38200	PC1
23	0.0711548882506442	D24	C1	1000	1000	61800	PC1
24	0.0461506098079907	D24	C1	1000	1000	1e+05	PC1
