	error	rep	config	gwas_size	test_size	L	type
1	0.948625243937975	D43	C1	1000	1000	500	FGr
2	0.931668100626893	D43	C1	1000	1000	810	FGr
3	0.893808007554225	D43	C1	1000	1000	1320	FGr
4	0.819980312063	D43	C1	1000	1000	2100	FGr
5	0.749745436009987	D43	C1	1000	1000	3400	FGr
6	0.681110326443686	D43	C1	1000	1000	5500	FGr
7	0.497863604780762	D43	C1	1000	1000	9000	FGr
8	0.413016361037428	D43	C1	1000	1000	14600	FGr
9	0.297934160639959	D43	C1	1000	1000	23600	FGr
10	0.196073045078851	D43	C1	1000	1000	38200	FGr
11	0.133222531277826	D43	C1	1000	1000	61800	FGr
12	0.088767370415631	D43	C1	1000	1000	1e+05	FGr
13	0.998046007182756	D43	C1	1000	1000	500	PC1
14	0.999999996766973	D43	C1	1000	1000	810	PC1
15	0.999862053831975	D43	C1	1000	1000	1320	PC1
16	0.973518049224366	D43	C1	1000	1000	2100	PC1
17	0.888384595885184	D43	C1	1000	1000	3400	PC1
18	0.642123389691354	D43	C1	1000	1000	5500	PC1
19	0.422802713521972	D43	C1	1000	1000	9000	PC1
20	0.298578997117902	D43	C1	1000	1000	14600	PC1
21	0.185546970293749	D43	C1	1000	1000	23600	PC1
22	0.118419260762965	D43	C1	1000	1000	38200	PC1
23	0.0744325056191686	D43	C1	1000	1000	61800	PC1
24	0.0445015497376504	D43	C1	1000	1000	1e+05	PC1
