	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
32	32	0.0242316320445001	0.0710677027	0	0.189	0.07	0.0242316320445001	0.0710677027	ID	14600	1.31626537383189	1.8367108027627	D1	C1	1000	1000	0	0.5	14600	
33	33	0.0398174928450005	0.3889935265	0	0.167	0	0.0398174928450005	0.3889935265	1	23600	1.37840597518614	5.31627630409959	D1	C1	1000	1000	0	0.5	23600	
34	34	0.1258104814725	0.7432443845	0	0	0	0.1258104814725	0.7432443845	FGr	23600	3.94346039511053	9.31416211037229	D1	C1	1000	1000	0	0.5	23600	
35	35	0.404873589828001	2.661262241	0	0	0	0.404873589828001	2.661262241	NoCorrection	23600	6.83964890060427	16.5196018936734	D1	C1	1000	1000	0	0.5	23600	
36	36	0.00758058928500032	-0.0321223575000004	0	0.754	0.528	0.00758058928500032	-0.0321223575000004	ID	23600	0.338100597195444	-0.630272254367629	D1	C1	1000	1000	0	0.5	23600	
37	37	0.0596786322415	0.33756279065	0	0.062	0	0.0596786322415	0.33756279065	1	38200	1.81101420725029	4.65448424593272	D1	C1	1000	1000	0	0.5	38200	
38	38	0.10715193773	0.590714430500001	0	0.002	0	0.10715193773	0.590714430500001	FGr	38200	3.09241915166422	7.23149914109647	D1	C1	1000	1000	0	0.5	38200	
39	39	0.49130898463225	2.7055389275	0	0	0	0.49130898463225	2.7055389275	NoCorrection	38200	8.85299873302509	19.8324169749507	D1	C1	1000	1000	0	0.5	38200	
40	40	0.0210260764299999	0.0961582811499993	0	0.463	0.154	0.0210260764299999	0.0961582811499993	ID	38200	0.734039941694492	1.41802335602519	D1	C1	1000	1000	0	0.5	38200	
41	41	-0.00761445540334018	0.045177954	0	0.829	0.603	-0.00761445540334018	0.045177954	1	61800	-0.217332118102003	0.522472375244766	D1	C1	1000	1000	0	0.5	61800	
42	42	0.0649341488505	0.44584231595	0	0.086	0	0.0649341488505	0.44584231595	FGr	61800	1.74745952531757	5.03058674410618	D1	C1	1000	1000	0	0.5	61800	
43	43	0.487386593951301	2.8129445095	0	0	0	0.487386593951301	2.8129445095	NoCorrection	61800	9.68779507070725	21.7976593466408	D1	C1	1000	1000	0	0.5	61800	
44	44	-0.0185014672434999	0.0327496382000002	0	0.59	0.71	-0.0185014672434999	0.0327496382000002	ID	61800	-0.545510676545806	0.384577296589053	D1	C1	1000	1000	0	0.5	61800	
45	45	0.00770583015609939	-0.00107958014999966	0	0.846	0.993	0.00770583015609939	-0.00107958014999966	1	1e+05	0.178620273371658	-0.00983427673615548	D1	C1	1000	1000	0	0.5	1e+05	
46	46	0.025162803513095	0.0996137507000009	0	0.577	0.354	0.025162803513095	0.0996137507000009	FGr	1e+05	0.555106233136078	0.930094131465218	D1	C1	1000	1000	0	0.5	1e+05	
47	47	0.51365302466385	3.1512145785	0	0	0	0.51365302466385	3.1512145785	NoCorrection	1e+05	9.02734805438957	22.4865347028701	D1	C1	1000	1000	0	0.5	1e+05	
48	48	-0.0171212818053003	-0.18949922305	0	0.721	0.077	-0.0171212818053003	-0.18949922305	ID	1e+05	-0.384424747872276	-1.75891375162297	D1	C1	1000	1000	0	0.5	1e+05	
49	1	0.301548321000002	1.59639075000001	0	0.318	0.087	0.301548321000002	1.59639075000001	1	500	1.05259905712983	1.69998249095908	D2	C1	1000	1000	0	0.5	500	
50	2	0.195890401999998	0.82929905	0	0.61	0.34	0.195890401999998	0.82929905	FGr	500	0.615767123028344	0.996857777815699	D2	C1	1000	1000	0	0.5	500	
51	3	0.192734009999997	0.649740800000005	0	0.633	0.431	0.192734009999997	0.649740800000005	NoCorrection	500	0.586758870738258	0.780980600861757	D2	C1	1000	1000	0	0.5	500	
52	4	0.00165696607000001	-0.0039755871	0	0.602	0.655	0.00165696607000001	-0.0039755871	ID	500	0.552776735056431	-0.486622131263311	D2	C1	1000	1000	0	0.5	500	
53	5	0.0506025764999991	2.09370521	0	0.821	0.011	0.0506025764999991	2.09370521	1	810	0.22525196921909	2.5348080223125	D2	C1	1000	1000	0	0.5	810	
