	V1	error	rep	config	gwas_size	test_size	L	type
90	18	0.70874312456207	D4	C1	1000	1000	5500	PC1
91	19	0.458149034237267	D4	C1	1000	1000	9000	PC1
92	20	0.281340498149378	D4	C1	1000	1000	14600	PC1
93	21	0.17224745821895	D4	C1	1000	1000	23600	PC1
94	22	0.113682084863265	D4	C1	1000	1000	38200	PC1
95	23	0.0677271698123743	D4	C1	1000	1000	61800	PC1
96	24	0.0415548979243077	D4	C1	1000	1000	1e+05	PC1
97	1	0.926677423160151	D5	C1	1000	1000	500	FGr
98	2	0.930308667993441	D5	C1	1000	1000	810	FGr
99	3	0.90335290542939	D5	C1	1000	1000	1320	FGr
100	4	0.78686160831109	D5	C1	1000	1000	2100	FGr
101	5	0.736503093676592	D5	C1	1000	1000	3400	FGr
102	6	0.617351586865415	D5	C1	1000	1000	5500	FGr
103	7	0.532476611801894	D5	C1	1000	1000	9000	FGr
104	8	0.402998536664622	D5	C1	1000	1000	14600	FGr
105	9	0.309444037545312	D5	C1	1000	1000	23600	FGr
106	10	0.197998993631626	D5	C1	1000	1000	38200	FGr
107	11	0.143084828412648	D5	C1	1000	1000	61800	FGr
108	12	0.0927362488446809	D5	C1	1000	1000	1e+05	FGr
109	13	0.996942560363318	D5	C1	1000	1000	500	PC1
110	14	0.997002683789592	D5	C1	1000	1000	810	PC1
111	15	0.999697808573555	D5	C1	1000	1000	1320	PC1
112	16	0.873127256240292	D5	C1	1000	1000	2100	PC1
113	17	0.970146084722193	D5	C1	1000	1000	3400	PC1
114	18	0.630827031722015	D5	C1	1000	1000	5500	PC1
115	19	0.373610962965454	D5	C1	1000	1000	9000	PC1
116	20	0.294860345047384	D5	C1	1000	1000	14600	PC1
117	21	0.170354636161702	D5	C1	1000	1000	23600	PC1
118	22	0.11428283175468	D5	C1	1000	1000	38200	PC1
119	23	0.0710391133915548	D5	C1	1000	1000	61800	PC1
120	24	0.0459963748374825	D5	C1	1000	1000	1e+05	PC1
121	1	0.964412711264507	D6	C1	1000	1000	500	FGr
122	2	0.878098237224206	D6	C1	1000	1000	810	FGr
123	3	0.817500249149994	D6	C1	1000	1000	1320	FGr
124	4	0.861049786874071	D6	C1	1000	1000	2100	FGr
125	5	0.805359665492994	D6	C1	1000	1000	3400	FGr
126	6	0.666579531548725	D6	C1	1000	1000	5500	FGr
127	7	0.472591290836907	D6	C1	1000	1000	9000	FGr
128	8	0.379547818905159	D6	C1	1000	1000	14600	FGr
129	9	0.308733463398222	D6	C1	1000	1000	23600	FGr
130	10	0.197421216698242	D6	C1	1000	1000	38200	FGr
131	11	0.134294949690181	D6	C1	1000	1000	61800	FGr
132	12	0.088193722190576	D6	C1	1000	1000	1e+05	FGr
133	13	0.999446536064927	D6	C1	1000	1000	500	PC1
134	14	0.991000208056158	D6	C1	1000	1000	810	PC1
135	15	0.968010391295202	D6	C1	1000	1000	1320	PC1
136	16	0.969573092314849	D6	C1	1000	1000	2100	PC1
137	17	0.837934605777516	D6	C1	1000	1000	3400	PC1
138	18	0.694472661126101	D6	C1	1000	1000	5500	PC1
139	19	0.426251056707191	D6	C1	1000	1000	9000	PC1
140	20	0.276656680001573	D6	C1	1000	1000	14600	PC1
141	21	0.175581812015424	D6	C1	1000	1000	23600	PC1
142	22	0.11201496004295	D6	C1	1000	1000	38200	PC1
143	23	0.0763345914197987	D6	C1	1000	1000	61800	PC1
144	24	0.0500878086359908	D6	C1	1000	1000	1e+05	PC1
145	1	0.966263716596881	D7	C1	1000	1000	500	FGr
146	2	0.924909987790538	D7	C1	1000	1000	810	FGr
147	3	0.882607128712867	D7	C1	1000	1000	1320	FGr
148	4	0.797861714105281	D7	C1	1000	1000	2100	FGr
149	5	0.733915841333371	D7	C1	1000	1000	3400	FGr
150	6	0.608026863320695	D7	C1	1000	1000	5500	FGr
151	7	0.494850915490171	D7	C1	1000	1000	9000	FGr
152	8	0.383221263588878	D7	C1	1000	1000	14600	FGr
153	9	0.30041506273277	D7	C1	1000	1000	23600	FGr
154	10	0.210519492181058	D7	C1	1000	1000	38200	FGr
155	11	0.132363182271703	D7	C1	1000	1000	61800	FGr
156	12	0.090852986352574	D7	C1	1000	1000	1e+05	FGr
157	13	0.986224857234648	D7	C1	1000	1000	500	PC1
158	14	0.99935628004198	D7	C1	1000	1000	810	PC1
159	15	0.961382835315196	D7	C1	1000	1000	1320	PC1
160	16	0.982236242719581	D7	C1	1000	1000	2100	PC1
161	17	0.832183333249341	D7	C1	1000	1000	3400	PC1
162	18	0.569394139936825	D7	C1	1000	1000	5500	PC1
163	19	0.36252475907153	D7	C1	1000	1000	9000	PC1
164	20	0.260631018624418	D7	C1	1000	1000	14600	PC1
165	21	0.165571346087737	D7	C1	1000	1000	23600	PC1
166	22	0.114038866321649	D7	C1	1000	1000	38200	PC1
167	23	0.0669113153986029	D7	C1	1000	1000	61800	PC1
168	24	0.0415590283507833	D7	C1	1000	1000	1e+05	PC1
169	1	0.952363531485791	D8	C1	1000	1000	500	FGr
170	2	0.933738982995404	D8	C1	1000	1000	810	FGr
171	3	0.91499738429861	D8	C1	1000	1000	1320	FGr
172	4	0.778205816048368	D8	C1	1000	1000	2100	FGr
173	5	0.746614685164998	D8	C1	1000	1000	3400	FGr
174	6	0.648650909655276	D8	C1	1000	1000	5500	FGr
175	7	0.540711450335909	D8	C1	1000	1000	9000	FGr
176	8	0.39520678672129	D8	C1	1000	1000	14600	FGr
177	9	0.328277654024154	D8	C1	1000	1000	23600	FGr
178	10	0.210566820466183	D8	C1	1000	1000	38200	FGr
179	11	0.140874548228961	D8	C1	1000	1000	61800	FGr
180	12	0.0938214790539066	D8	C1	1000	1000	1e+05	FGr
181	13	0.999370346790255	D8	C1	1000	1000	500	PC1
182	14	0.9982189619182	D8	C1	1000	1000	810	PC1
183	15	0.999947357156666	D8	C1	1000	1000	1320	PC1
184	16	0.961210795549151	D8	C1	1000	1000	2100	PC1
185	17	0.738677914912977	D8	C1	1000	1000	3400	PC1
186	18	0.682039388676837	D8	C1	1000	1000	5500	PC1
187	19	0.396448757443769	D8	C1	1000	1000	9000	PC1
188	20	0.271580329284615	D8	C1	1000	1000	14600	PC1
189	21	0.185781853028031	D8	C1	1000	1000	23600	PC1
190	22	0.1146677807317	D8	C1	1000	1000	38200	PC1
191	23	0.0775773707568895	D8	C1	1000	1000	61800	PC1
192	24	0.0446751485365166	D8	C1	1000	1000	1e+05	PC1
193	1	0.965243632113859	D9	C1	1000	1000	500	FGr
194	2	0.918760809035151	D9	C1	1000	1000	810	FGr
195	3	0.876226107112348	D9	C1	1000	1000	1320	FGr
196	4	0.808879635296463	D9	C1	1000	1000	2100	FGr
197	5	0.724697063567785	D9	C1	1000	1000	3400	FGr
198	6	0.629504569142138	D9	C1	1000	1000	5500	FGr
199	7	0.503584281112726	D9	C1	1000	1000	9000	FGr
200	8	0.385724736690596	D9	C1	1000	1000	14600	FGr
201	9	0.294236047427463	D9	C1	1000	1000	23600	FGr
202	10	0.215458070626299	D9	C1	1000	1000	38200	FGr
203	11	0.134774643168059	D9	C1	1000	1000	61800	FGr
204	12	0.0928493591976003	D9	C1	1000	1000	1e+05	FGr
205	13	0.994735720620262	D9	C1	1000	1000	500	PC1
206	14	0.999530621455765	D9	C1	1000	1000	810	PC1
207	15	0.994739367206308	D9	C1	1000	1000	1320	PC1
208	16	0.965039224327959	D9	C1	1000	1000	2100	PC1
