	FGr	10	35	100	rep	gwas_size	test_size	test	L
1	0	0.116870836744917	0.077107242228876	0.0731051641871891	A1	2160	720	PS	20000
2	0.0193552363653078	0.11798622194587	0.0783154573811257	0.0747878767141405	A1	2160	720	PS	19000
3	0.0215094655863385	0.119174225575637	0.0802293278445243	0.0759673401738113	A1	2160	720	PS	18000
4	0.0247040024031835	0.125317493194995	0.0840024986838728	0.0788323906179106	A1	2160	720	PS	17000
5	0.0275906090858558	0.122626960857632	0.0826593480531698	0.0789481850993522	A1	2160	720	PS	16000
6	0.0352175082604801	0.119776431205864	0.0826242069424695	0.0774572920151119	A1	2160	720	PS	15000
7	0.0385189741404741	0.120727282027482	0.0862689351714097	0.0806929766565808	A1	2160	720	PS	14000
8	0.0466804367852419	0.132071693893764	0.0944151352623672	0.0878124792268469	A1	2160	720	PS	13000
9	0.0503112751946382	0.127436920397218	0.0916637843990581	0.085814039462109	A1	2160	720	PS	12000
10	0.0547563732285191	0.124549666162426	0.0964712640554786	0.0906703698147763	A1	2160	720	PS	11000
11	0.0620386018266947	0.125762101534878	0.100397665110524	0.094821976358171	A1	2160	720	PS	10000
12	0.0777478161694658	0.133608000239752	0.102623287376036	0.0956794184230854	A1	2160	720	PS	9000
13	0.0949744613873533	0.142102348544483	0.112865534787134	0.10458817862218	A1	2160	720	PS	8000
14	0.113791984672936	0.13842734721029	0.112800910825598	0.105799486121421	A1	2160	720	PS	7000
15	0.130945440829873	0.143687036137864	0.123101102271346	0.115999789966236	A1	2160	720	PS	6000
16	4.44089209850063e-16	0.112299833273442	0.0740731806851341	0.0713684383657337	A2	2160	720	PS	20000
17	0.0173596512804137	0.115768359287453	0.0764852226323212	0.0738184934838895	A2	2160	720	PS	19000
18	0.021384096905868	0.115963700665504	0.0770093015306921	0.0740091608087534	A2	2160	720	PS	18000
19	0.0244945902354887	0.114321727008928	0.0769369817583245	0.0738089253638666	A2	2160	720	PS	17000
20	0.0282218221355537	0.113478054014476	0.0791478864690499	0.0760963261922758	A2	2160	720	PS	16000
21	0.0337050323806556	0.117497676025467	0.0825671047017693	0.0784612438527961	A2	2160	720	PS	15000
22	0.0358883157411198	0.116225383097085	0.0832723515859325	0.0784790744034181	A2	2160	720	PS	14000
23	0.0411381965752521	0.118348542490377	0.0855005284539626	0.0813806811330101	A2	2160	720	PS	13000
24	0.0485479193785063	0.121643464415573	0.088842435178931	0.084284900533555	A2	2160	720	PS	12000
25	0.0556265192916865	0.118234042246667	0.0890678712310641	0.0848511011005727	A2	2160	720	PS	11000
26	0.063048420557995	0.130707454882479	0.0975734488803868	0.0918625017354389	A2	2160	720	PS	10000
27	0.0827068367693112	0.128162921308925	0.0982582148733396	0.0936026569418928	A2	2160	720	PS	9000
28	0.0884941906871829	0.136509527239053	0.108992898793468	0.100731213799892	A2	2160	720	PS	8000
29	0.107842174742867	0.133842143400389	0.108424130408545	0.101023311249457	A2	2160	720	PS	7000
30	0.122871913459489	0.135724797906258	0.118657476453876	0.11088982330834	A2	2160	720	PS	6000
31	0	0.119487890863429	0.080936271763133	0.0774647045351775	A3	2160	720	PS	20000
32	0.020111397290336	0.124752468361285	0.0822498305206382	0.0784967276579338	A3	2160	720	PS	19000
33	0.0228857465585145	0.119996882602768	0.0847335730282747	0.0808442395072737	A3	2160	720	PS	18000
34	0.0275078816716913	0.12036355123084	0.0847482191466076	0.0806477098558862	A3	2160	720	PS	17000
35	0.0310940268774038	0.126470456294899	0.0855288468077278	0.0809135990545178	A3	2160	720	PS	16000
36	0.0335241809451207	0.123432189619182	0.0868910937166531	0.0825048597732114	A3	2160	720	PS	15000
37	0.0364851742799864	0.12369190944702	0.0902552521652429	0.0846390577563174	A3	2160	720	PS	14000
38	0.0447609386190051	0.125200321352412	0.0926838472764659	0.0874236330131174	A3	2160	720	PS	13000
39	0.0524916352128069	0.12632867123655	0.0949943503754933	0.0894594232008763	A3	2160	720	PS	12000
40	0.0574112366538355	0.128486082655564	0.100042558594309	0.0941664478454498	A3	2160	720	PS	11000
41	0.0643232458961944	0.129910893881354	0.101834271395922	0.0972036294054678	A3	2160	720	PS	10000
42	0.075797401274263	0.130975353730639	0.103946971103298	0.097564111685674	A3	2160	720	PS	9000
43	0.0891094772697607	0.136114369949053	0.107930192203055	0.101880811309334	A3	2160	720	PS	8000
44	0.108094320954616	0.134773136916842	0.112834108816654	0.103801277052975	A3	2160	720	PS	7000
45	0.12685386435323	0.142120965676533	0.124448524292144	0.116874850290353	A3	2160	720	PS	6000
46	0	0.115906568957399	0.0794103395844164	0.0756260224703553	A4	2160	720	PS	20000
47	0.0193665546085593	0.115399066387537	0.0794713905945795	0.0764645489960986	A4	2160	720	PS	19000
48	0.0233096971220281	0.121036218391537	0.0829698274854629	0.0790765155317902	A4	2160	720	PS	18000
49	0.0267057553493032	0.119071080492024	0.0826257011154561	0.079135365840539	A4	2160	720	PS	17000
50	0.0306978891007621	0.120125800724635	0.0875646116136077	0.0829844814707206	A4	2160	720	PS	16000
51	0.0337977254981229	0.121199454594244	0.0874239416187209	0.0822298406264241	A4	2160	720	PS	15000
52	0.0398471366233668	0.123850603941306	0.0895018518724057	0.08469080246408	A4	2160	720	PS	14000
53	0.0456139084354457	0.125103270550905	0.0919903464300656	0.086491805962574	A4	2160	720	PS	13000
54	0.0502894394754091	0.125911362277989	0.0949699564720293	0.0886860435822927	A4	2160	720	PS	12000
55	0.0549748569966377	0.126201730361772	0.0945451269493502	0.0898679824467572	A4	2160	720	PS	11000
