	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
34	34	-0.149398453630556	-0.0302049889583338	0	0.002	0.783	-0.149398453630556	-0.0302049889583338	FGr	20000	A1	2160	720	0	300	0.2	PS	LAT
35	35	-0.147522975517882	-0.0122137184027781	0	0	0.92	-0.147522975517882	-0.0122137184027781	NoCorrection	20000	A1	2160	720	0	300	0.2	PS	LAT
36	36	-0.142567551854167	0.0524670602256944	0	0.001	0.665	-0.142567551854167	0.0524670602256944	10	20000	A1	2160	720	0	300	0.2	PS	PS
37	37	-0.145530950817243	-0.0959737232118055	0	0.001	0.475	-0.145530950817243	-0.0959737232118055	50	20000	A1	2160	720	0	300	0.2	PS	PS
38	38	-0.135887961394202	-0.140477151649306	0	0.004	0.28	-0.135887961394202	-0.140477151649306	100	20000	A1	2160	720	0	300	0.2	PS	PS
39	39	-0.122955403448437	-0.219573149791667	0	0.022	0.169	-0.122955403448437	-0.219573149791667	500	20000	A1	2160	720	0	300	0.2	PS	PS
40	40	-0.0929666419190974	-0.108973363194444	0	0.152	0.613	-0.0929666419190974	-0.108973363194444	1000	20000	A1	2160	720	0	300	0.2	PS	PS
41	41	-0.120137249344097	0.180167028246527	0	0.006	0.142	-0.120137249344097	0.180167028246527	FGr	20000	A1	2160	720	0	300	0.2	PS	PS
42	42	-0.147522975517882	-0.0122137184027781	0	0.002	0.93	-0.147522975517882	-0.0122137184027781	NoCorrection	20000	A1	2160	720	0	300	0.2	PS	PS
43	1	-0.0742592753881945	-0.170097541388889	0	0.099	0.198	-0.0742592753881945	-0.170097541388889	10	20000	A2	2160	720	0	300	0.2	DIAG	LAT
44	2	-0.0765921086562326	-0.102168235815972	0	0.086	0.433	-0.0765921086562326	-0.102168235815972	50	20000	A2	2160	720	0	300	0.2	DIAG	LAT
45	3	-0.0754315588565972	-0.147975722986111	0	0.118	0.302	-0.0754315588565972	-0.147975722986111	100	20000	A2	2160	720	0	300	0.2	DIAG	LAT
46	4	-0.0981826989927083	-0.0613114023437499	0	0.062	0.715	-0.0981826989927083	-0.0613114023437499	500	20000	A2	2160	720	0	300	0.2	DIAG	LAT
47	5	-0.154162576519271	-0.186270622395833	0	0.032	0.425	-0.154162576519271	-0.186270622395833	1000	20000	A2	2160	720	0	300	0.2	DIAG	LAT
48	6	-0.0884275514623264	-0.408368836354167	0	0.03	0.001	-0.0884275514623264	-0.408368836354167	FGr	20000	A2	2160	720	0	300	0.2	DIAG	LAT
49	7	-0.0933924835299478	-0.379684902829861	0	0.03	0	-0.0933924835299478	-0.379684902829861	NoCorrection	20000	A2	2160	720	0	300	0.2	DIAG	LAT
50	8	-0.0742592753881945	-0.170097541388889	0	0.085	0.185	-0.0742592753881945	-0.170097541388889	10	20000	A2	2160	720	0	300	0.2	DIAG	PS
51	9	-0.0765921086562326	-0.102168235815972	0	0.098	0.432	-0.0765921086562326	-0.102168235815972	50	20000	A2	2160	720	0	300	0.2	DIAG	PS
52	10	-0.0754315588565972	-0.147975722986111	0	0.097	0.277	-0.0754315588565972	-0.147975722986111	100	20000	A2	2160	720	0	300	0.2	DIAG	PS
