	Error	rep	gwas_size	test_size	test	L
119	0.0977101079220524	A40	2160	720	PS	L
120	0.542068525494758	A40	2160	720	PS	L
121	0.0533050991612993	A41	2160	720	PS	L
122	0.104693379224791	A41	2160	720	PS	L
123	0.537442767083493	A41	2160	720	PS	L
124	0.052922114582556	A42	2160	720	PS	L
125	0.100626511140671	A42	2160	720	PS	L
126	0.495910777921088	A42	2160	720	PS	L
127	0.0521472619228713	A43	2160	720	PS	L
128	0.0930149215308675	A43	2160	720	PS	L
129	0.566404367871502	A43	2160	720	PS	L
130	0.0525346916277869	A44	2160	720	PS	L
131	0.102301639180554	A44	2160	720	PS	L
132	0.488825233121036	A44	2160	720	PS	L
133	0.0571463655102281	A45	2160	720	PS	L
134	0.103241224513456	A45	2160	720	PS	L
135	0.49377082715436	A45	2160	720	PS	L
136	0.0499558225389962	A46	2160	720	PS	L
137	0.0977591344773916	A46	2160	720	PS	L
138	0.50466327462403	A46	2160	720	PS	L
139	0.0533622781220985	A47	2160	720	PS	L
140	0.113609281872975	A47	2160	720	PS	L
141	0.560869695681892	A47	2160	720	PS	L
142	0.0494828183882744	A48	2160	720	PS	L
143	0.094764437635562	A48	2160	720	PS	L
144	0.506379442931146	A48	2160	720	PS	L
145	0.051008931760699	A49	2160	720	PS	L
146	0.10591554580303	A49	2160	720	PS	L
147	0.482536751064513	A49	2160	720	PS	L
148	0.0509848224109786	A50	2160	720	PS	L
149	0.0961010575581071	A50	2160	720	PS	L
150	0.51601828900489	A50	2160	720	PS	L
151	0.0487040068268881	A51	2160	720	PS	L
152	0.0966543913497802	A51	2160	720	PS	L
153	0.507561453169872	A51	2160	720	PS	L
154	0.0508304419809922	A52	2160	720	PS	L
155	0.102577713131888	A52	2160	720	PS	L
156	0.485600097721614	A52	2160	720	PS	L
157	0.0519901042871776	A53	2160	720	PS	L
158	0.103161935027555	A53	2160	720	PS	L
159	0.58792892783775	A53	2160	720	PS	L
160	0.0541892108506273	A54	2160	720	PS	L
161	0.10321400172902	A54	2160	720	PS	L
162	0.533438664921622	A54	2160	720	PS	L
163	0.0494629967158075	A55	2160	720	PS	L
164	0.0897981124758259	A55	2160	720	PS	L
165	0.519125790707789	A55	2160	720	PS	L
166	0.0491671949275023	A56	2160	720	PS	L
167	0.0964719501732506	A56	2160	720	PS	L
168	0.470861720176752	A56	2160	720	PS	L
169	0.0576226466734962	A57	2160	720	PS	L
170	0.0976278646686851	A57	2160	720	PS	L
171	0.508166563501267	A57	2160	720	PS	L
172	0.0497574883316401	A58	2160	720	PS	L
173	0.0966325475135079	A58	2160	720	PS	L
174	0.551228844263828	A58	2160	720	PS	L
175	0.0541949636942068	A59	2160	720	PS	L
176	0.105550906422936	A59	2160	720	PS	L
177	0.563650831996321	A59	2160	720	PS	L
178	0.0520371578194641	A60	2160	720	PS	L
179	0.0958943381463472	A60	2160	720	PS	L
180	0.494210718030797	A60	2160	720	PS	L
181	0.0513117698867557	A61	2160	720	PS	L
182	0.0976223140496203	A61	2160	720	PS	L
183	0.430107032226722	A61	2160	720	PS	L
184	0.0552024541751998	A62	2160	720	PS	L
185	0.105498274869674	A62	2160	720	PS	L
186	0.538348296438131	A62	2160	720	PS	L
187	0.0577368137434336	A63	2160	720	PS	L
188	0.107060529265796	A63	2160	720	PS	L
189	0.542233247859156	A63	2160	720	PS	L
190	0.0491795110709264	A64	2160	720	PS	L
191	0.0967597247909153	A64	2160	720	PS	L
192	0.501743591034004	A64	2160	720	PS	L
193	0.0507667301680888	A65	2160	720	PS	L
194	0.0987000435080911	A65	2160	720	PS	L
195	0.500530586971784	A65	2160	720	PS	L
196	0.0532991992808371	A66	2160	720	PS	L
197	0.096373315827877	A66	2160	720	PS	L
198	0.529250807360709	A66	2160	720	PS	L
199	0.0475904537482773	A67	2160	720	PS	L
200	0.0920907851287688	A67	2160	720	PS	L
201	0.519792422773177	A67	2160	720	PS	L
202	0.0496177274901865	A68	2160	720	PS	L
203	0.0934486273020811	A68	2160	720	PS	L
204	0.534525370162036	A68	2160	720	PS	L
205	0.0521549654113886	A69	2160	720	PS	L
206	0.0953299931465352	A69	2160	720	PS	L
207	0.560257147566118	A69	2160	720	PS	L
208	0.0529384683662568	A70	2160	720	PS	L
209	0.103507528907491	A70	2160	720	PS	L
210	0.544707667628246	A70	2160	720	PS	L
211	0.0518757949370146	A71	2160	720	PS	L
212	0.101667612412705	A71	2160	720	PS	L
213	0.505338690270221	A71	2160	720	PS	L
214	0.0491258272746043	A72	2160	720	PS	L
215	0.0911510709015471	A72	2160	720	PS	L
216	0.486278247537754	A72	2160	720	PS	L
217	0.0550546068080758	A73	2160	720	PS	L
218	0.105470469368463	A73	2160	720	PS	L
219	0.502953528906236	A73	2160	720	PS	L
220	0.0548220422628046	A74	2160	720	PS	L
221	0.101185897966434	A74	2160	720	PS	L
222	0.552919277291048	A74	2160	720	PS	L
223	0.0515844914738116	A75	2160	720	PS	L
224	0.0893406213364138	A75	2160	720	PS	L
225	0.459915893001886	A75	2160	720	PS	L
226	0.0503302873508484	A76	2160	720	PS	L
227	0.0974299812877879	A76	2160	720	PS	L
228	0.493122580504468	A76	2160	720	PS	L
229	0.0530070725669577	A77	2160	720	PS	L
230	0.0992452438013012	A77	2160	720	PS	L
231	0.544233730339114	A77	2160	720	PS	L
232	0.0516365676768535	A78	2160	720	PS	L
233	0.0970221787847725	A78	2160	720	PS	L
234	0.460972818392087	A78	2160	720	PS	L
235	0.051599053580358	A79	2160	720	PS	L
236	0.0981895523861398	A79	2160	720	PS	L
237	0.489597454733372	A79	2160	720	PS	L
238	0.0564407153680624	A80	2160	720	PS	L
239	0.105773472985113	A80	2160	720	PS	L
240	0.485994865176075	A80	2160	720	PS	L
241	0.0535540366958567	A81	2160	720	PS	L
242	0.0972563082628287	A81	2160	720	PS	L
243	0.581651694198053	A81	2160	720	PS	L
244	0.0562773156072364	A82	2160	720	PS	L
245	0.106335905753074	A82	2160	720	PS	L
246	0.493440933258258	A82	2160	720	PS	L
247	0.0511991071547468	A83	2160	720	PS	L
248	0.100826324001107	A83	2160	720	PS	L
249	0.528189363029211	A83	2160	720	PS	L
250	0.0524491337867063	A84	2160	720	PS	L
251	0.107339967476128	A84	2160	720	PS	L
252	0.50593926058055	A84	2160	720	PS	L
253	0.0511293336421324	A85	2160	720	PS	L
254	0.0915041300743192	A85	2160	720	PS	L
255	0.50842573030829	A85	2160	720	PS	L
256	0.0478217257160844	A86	2160	720	PS	L
257	0.100300222963546	A86	2160	720	PS	L
258	0.56799721641725	A86	2160	720	PS	L
259	0.0549730198758401	A87	2160	720	PS	L
260	0.104501936766399	A87	2160	720	PS	L
261	0.51254754998227	A87	2160	720	PS	L
262	0.0535053143781593	A88	2160	720	PS	L
263	0.094556736453105	A88	2160	720	PS	L
264	0.470472836306445	A88	2160	720	PS	L
265	0.0524987809512777	A89	2160	720	PS	L
266	0.0959091876251291	A89	2160	720	PS	L
267	0.49617085294644	A89	2160	720	PS	L
268	0.0535553889244932	A90	2160	720	PS	L
269	0.104877013367312	A90	2160	720	PS	L
270	0.50538044325297	A90	2160	720	PS	L
271	0.0523489006888549	A91	2160	720	PS	L
272	0.0961539190527568	A91	2160	720	PS	L
273	0.476025492317257	A91	2160	720	PS	L
274	0.0526962108449538	A92	2160	720	PS	L
275	0.0969616435969053	A92	2160	720	PS	L
276	0.498194141243712	A92	2160	720	PS	L
277	0.0513481960360176	A93	2160	720	PS	L
278	0.098901978408132	A93	2160	720	PS	L
279	0.461085214414112	A93	2160	720	PS	L
280	0.0524355885034545	A94	2160	720	PS	L
281	0.102787428554354	A94	2160	720	PS	L
282	0.485759936751167	A94	2160	720	PS	L
283	0.049244175754104	A95	2160	720	PS	L
284	0.0943181931968357	A95	2160	720	PS	L
285	0.513254223559427	A95	2160	720	PS	L
286	0.0519234770811478	A96	2160	720	PS	L
287	0.098506019669067	A96	2160	720	PS	L
288	0.521813415556021	A96	2160	720	PS	L
289	0.0507692061940371	A97	2160	720	PS	L
290	0.0918391753751938	A97	2160	720	PS	L
291	0.567509710054006	A97	2160	720	PS	L
292	0.0508114230110108	A98	2160	720	PS	L
293	0.0976623776544944	A98	2160	720	PS	L
294	0.497227266681387	A98	2160	720	PS	L
295	0.0518363964257184	A99	2160	720	PS	L
296	0.0990125235648855	A99	2160	720	PS	L
297	0.490606305018485	A99	2160	720	PS	L
298	0.054001446164757	A100	2160	720	PS	L
299	0.102164016795825	A100	2160	720	PS	L
300	0.505709886126196	A100	2160	720	PS	L
