	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
34	34	0.0484658449173617	0.240959130833334	0	0.256	0.081	0.0484658449173617	0.240959130833334	10	20000	A1	2160	720	0	300	0.5	DIAG	LAT
35	35	0.0416554718307914	0.179115614027778	0	0.382	0.204	0.0416554718307914	0.179115614027778	FGr	20000	A1	2160	720	0	300	0.5	DIAG	LAT
36	36	0.114972025418055	0.861423902083334	0	0.014	0	0.114972025418055	0.861423902083334	NoCorrection	20000	A1	2160	720	0	300	0.5	DIAG	LAT
37	37	0.00422389551431328	0.0149077998611111	0	0.133	0.055	0.00422389551431328	0.0149077998611111	10	20000	A1	2160	720	0	300	1	PS	PS
38	38	0.00167571479212193	-0.000121796940586376	0	0.563	0.991	0.00167571479212193	-0.000121796940586376	FGr	20000	A1	2160	720	0	300	1	PS	PS
39	39	0.00591023022056329	0.0341666065046296	0	0.044	0	0.00591023022056329	0.0341666065046296	NoCorrection	20000	A1	2160	720	0	300	1	PS	PS
40	40	0.00204511210624997	0.00715375597222213	0	0.969	0.955	0.00204511210624997	0.00715375597222213	10	20000	A1	2160	720	0	300	1	PS	LAT
41	41	0.0081403110881945	-0.00938095944444432	0	0.861	0.944	0.0081403110881945	-0.00938095944444432	FGr	20000	A1	2160	720	0	300	1	PS	LAT
42	42	0.0969106901909721	0.93729987375	0	0.015	0	0.0969106901909721	0.93729987375	NoCorrection	20000	A1	2160	720	0	300	1	PS	LAT
43	43	-0.00152720302952545	-0.0116834401774691	0	0.507	0.23	-0.00152720302952545	-0.0116834401774691	10	20000	A1	2160	720	0	300	1	LAT	PS
44	44	-0.00450228652530478	0.0049087507060185	0	0.121	0.604	-0.00450228652530478	0.0049087507060185	FGr	20000	A1	2160	720	0	300	1	LAT	PS
45	45	0.00618111162394482	0.113099553125	0	0.067	0	0.00618111162394482	0.113099553125	NoCorrection	20000	A1	2160	720	0	300	1	LAT	PS
