	error	rep	config	gwas_size	test_size	L	type
1	0.73131744719094	B2	C1	1000	1000	500	FGr
2	0.727018936872746	B2	C1	1000	1000	1000	FGr
3	0.472791172023092	B2	C1	1000	1000	2000	FGr
4	0.402349017861454	B2	C1	1000	1000	3000	FGr
5	0.327055949432636	B2	C1	1000	1000	4000	FGr
6	0.300000767494924	B2	C1	1000	1000	5000	FGr
7	0.260511101279996	B2	C1	1000	1000	6000	FGr
8	0.221686813990185	B2	C1	1000	1000	7000	FGr
9	0.202560455604759	B2	C1	1000	1000	8000	FGr
10	0.997317141827266	B2	C1	1000	1000	500	PC1
11	0.911463429453493	B2	C1	1000	1000	1000	PC1
12	0.612902666674374	B2	C1	1000	1000	2000	PC1
13	0.493853436382215	B2	C1	1000	1000	3000	PC1
14	0.394311768676228	B2	C1	1000	1000	4000	PC1
15	0.334881847566874	B2	C1	1000	1000	5000	PC1
16	0.288928228434343	B2	C1	1000	1000	6000	PC1
17	0.243507318195742	B2	C1	1000	1000	7000	PC1
18	0.222323057458194	B2	C1	1000	1000	8000	PC1
