	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
36	4	0.0118566684185999	0.019161078155	0	0.16	0.147	0.0118566684185999	0.019161078155	ID	1000	B2	C1	10000	10000	0	0.5	300	0
37	5	-0.00836688674039975	-0.00643144479999978	0	0.336	0.622	-0.00836688674039975	-0.00643144479999978	1	1000	B2	C1	10000	10000	0	0.5	300	0.5
38	6	0.0295538074474	0.0865715002850002	0	0	0	0.0295538074474	0.0865715002850002	FGr	1000	B2	C1	10000	10000	0	0.5	300	0.5
39	7	0.33791432451115	0.900665700650002	0	0	0	0.33791432451115	0.900665700650002	NoCorrection	1000	B2	C1	10000	10000	0	0.5	300	0.5
40	8	-0.00639160683414968	-0.00157450236000006	0	0.41	0.888	-0.00639160683414968	-0.00157450236000006	ID	1000	B2	C1	10000	10000	0	0.5	300	0.5
41	9	0.0124446084326936	0.00440637090500002	0	0.128	0.758	0.0124446084326936	0.00440637090500002	1	1000	B2	C1	10000	10000	0	0.5	300	1
42	10	0.0712760792726001	0.162611649475	0	0	0	0.0712760792726001	0.162611649475	FGr	1000	B2	C1	10000	10000	0	0.5	300	1
43	11	0.6749500355205	1.72032053078	0	0	0	0.6749500355205	1.72032053078	NoCorrection	1000	B2	C1	10000	10000	0	0.5	300	1
44	12	0.00592215922160005	-0.013691055775	0	0.432	0.301	0.00592215922160005	-0.013691055775	ID	1000	B2	C1	10000	10000	0	0.5	300	1
45	13	0.00964030878525	0.00859958674499946	0	0.37	0.615	0.00964030878525	0.00859958674499946	1	1000	B2	C1	10000	10000	0	0.5	300	5
46	14	0.32939157864082	0.843570764075001	0	0	0	0.32939157864082	0.843570764075001	FGr	1000	B2	C1	10000	10000	0	0.5	300	5
47	15	3.28767417117	8.46052738605002	0	0	0	3.28767417117	8.46052738605002	NoCorrection	1000	B2	C1	10000	10000	0	0.5	300	5
48	16	0.00321608025235002	0.01297226024	0	0.714	0.343	0.00321608025235002	0.01297226024	ID	1000	B2	C1	10000	10000	0	0.5	300	5
49	17	-0.00882481498676007	-0.00302970310999939	0	0.221	0.887	-0.00882481498676007	-0.00302970310999939	1	10000	B2	C1	10000	10000	0	0.5	300	0
50	18	-0.00968667904312986	-0.00712784988499956	0	0.228	0.722	-0.00968667904312986	-0.00712784988499956	FGr	10000	B2	C1	10000	10000	0	0.5	300	0
51	19	-0.0213454721267999	-0.082952572545	0	0.007	0	-0.0213454721267999	-0.082952572545	NoCorrection	10000	B2	C1	10000	10000	0	0.5	300	0
52	20	-0.00870206142397013	-0.00257633549999965	0	0.256	0.892	-0.00870206142397013	-0.00257633549999965	ID	10000	B2	C1	10000	10000	0	0.5	300	0
53	21	-0.0051679952123	0.00437155116000021	0	0.532	0.84	-0.0051679952123	0.00437155116000021	1	10000	B2	C1	10000	10000	0	0.5	300	0.5
54	22	-0.00159145131204998	0.0298947855399997	0	0.847	0.143	-0.00159145131204998	0.0298947855399997	FGr	10000	B2	C1	10000	10000	0	0.5	300	0.5
55	23	0.3095861858974	1.946989392525	0	0	0	0.3095861858974	1.946989392525	NoCorrection	10000	B2	C1	10000	10000	0	0.5	300	0.5
56	24	-0.00640019666679	-0.00410990018499998	0	0.447	0.828	-0.00640019666679	-0.00410990018499998	ID	10000	B2	C1	10000	10000	0	0.5	300	0.5
57	25	-0.00817465998589999	-0.027656595745	0	0.304	0.168	-0.00817465998589999	-0.027656595745	1	10000	B2	C1	10000	10000	0	0.5	300	1
