	error	rep	config	gwas_size	test_size	L	type
1	0.997816008947143	B5	C1	1000	1000	500	FGr
2	0.989422190670747	B5	C1	1000	1000	1000	FGr
3	0.985961725475516	B5	C1	1000	1000	2000	FGr
4	0.98079205483535	B5	C1	1000	1000	3000	FGr
5	0.969079508157179	B5	C1	1000	1000	4000	FGr
6	0.940927855693206	B5	C1	1000	1000	5000	FGr
7	0.959893835801318	B5	C1	1000	1000	6000	FGr
8	0.933800720520419	B5	C1	1000	1000	7000	FGr
9	0.919606132913629	B5	C1	1000	1000	8000	FGr
10	0.999813682440104	B5	C1	1000	1000	500	PC1
11	0.996181743832653	B5	C1	1000	1000	1000	PC1
12	0.960523783851047	B5	C1	1000	1000	2000	PC1
13	0.999851023537757	B5	C1	1000	1000	3000	PC1
14	0.889618226919682	B5	C1	1000	1000	4000	PC1
15	0.728048243496754	B5	C1	1000	1000	5000	PC1
16	0.628458750861199	B5	C1	1000	1000	6000	PC1
17	0.535575162113244	B5	C1	1000	1000	7000	PC1
18	0.479100971280959	B5	C1	1000	1000	8000	PC1
