	error	rep	config	gwas_size	test_size	L	type
1	0.579420448727422	B1	C1	1000	1000	500	FGr
2	0.472999531360175	B1	C1	1000	1000	1000	FGr
3	0.271590405983875	B1	C1	1000	1000	2000	FGr
4	0.211752042994442	B1	C1	1000	1000	3000	FGr
5	0.153991517532165	B1	C1	1000	1000	4000	FGr
6	0.126843576262899	B1	C1	1000	1000	5000	FGr
7	0.120955106968264	B1	C1	1000	1000	6000	FGr
8	0.0963614745310205	B1	C1	1000	1000	7000	FGr
9	0.0856528818361457	B1	C1	1000	1000	8000	FGr
10	0.748075021896289	B1	C1	1000	1000	500	PC1
11	0.521200938304432	B1	C1	1000	1000	1000	PC1
12	0.314579032772172	B1	C1	1000	1000	2000	PC1
13	0.233248637344851	B1	C1	1000	1000	3000	PC1
14	0.173767041457928	B1	C1	1000	1000	4000	PC1
15	0.13985755859508	B1	C1	1000	1000	5000	PC1
16	0.121881363413667	B1	C1	1000	1000	6000	PC1
17	0.105775139670119	B1	C1	1000	1000	7000	PC1
18	0.0940827268727781	B1	C1	1000	1000	8000	PC1
