Pop	avg_PRS	LAT	LONG
0	0.0656601861565726	0	0
1	0.0445463276938282	0	1
2	0.0284318628420276	0	2
3	-0.00618082949764562	0	3
4	-0.0291419277177005	0	4
5	-0.0501960127012787	0	5
6	0.053598875940287	1	0
7	0.00840274635978747	1	1
8	-0.0179875536181205	1	2
9	-0.00335762309904676	1	3
10	-0.0494772949215982	1	4
11	-0.0751316422299118	1	5
12	0.054129229230976	2	0
13	0.00233270948358699	2	1
14	-0.0114896246648912	2	2
15	-0.00618414212235162	2	3
16	-0.0178606384771059	2	4
17	-0.0487996605987311	2	5
18	0.0776514562306801	3	0
19	0.0392742300338273	3	1
20	0.00481429819947929	3	2
21	-0.0176615421889862	3	3
22	-0.0106667136493678	3	4
23	-0.064392830128887	3	5
24	0.0653695094341789	4	0
25	0.089076023410285	4	1
26	0.00751752250708916	4	2
27	-0.00696968514876224	4	3
28	-0.0239578047384164	4	4
29	-0.0537588196410043	4	5
30	0.0128838713335158	5	0
31	0.016915303181422	5	1
32	0.00387520247506186	5	2
33	0.00310411271381509	5	3
34	-0.00967957704766568	5	4
35	-0.0746895450349499	5	5
