Error,Type
0.0112833734341331,FGr
0.0106606963335943,PC1
0.0109260370870835,PC2
0.0240436579821405,PC3
0.051677123079185,PC4
0.0528499079690492,PC5
0.0698844319157105,PC6
0.0725390128888504,PC7
0.130380489106842,PC8
0.133795118128452,PC9
0.138151880234109,PC10
0.159782218624255,PC11
0.164496240132414,PC12
0.230881283012974,PC13
0.239226071427582,PC14
0.248648909858911,PC15
0.254893352026363,PC16
0.273143516470561,PC17
0.289442616103009,PC18
0.326015395289939,PC19
0.342782657071095,PC20
0.356717882586307,PC21
0.366466251572674,PC22
0.379497436723532,PC23
0.393428070044301,PC24
0.412460706536678,PC25
0.474872861889448,PC26
0.503913560999436,PC27
0.533129861350932,PC28
0.561632561667967,PC29
0.624516236957205,PC30
0.678241255541537,PC31
0.725927813178531,PC32
0.788417513482407,PC33
0.848810709428664,PC34
0.898209677435295,PC35
0.927147020059838,PC36
0.931842742803805,PC37
0.954990534407525,PC38
0.95382895647597,PC39
0.961017156155236,PC40
0.967649808248593,PC41
0.971338291028686,PC42
0.970378681220143,PC43
0.97503328818741,PC44
0.975894471689709,PC45
0.979226627877856,PC46
0.978751814504355,PC47
0.982156077915438,PC48
0.983337323661715,PC49
0.98849215506342,PC50
0.985486759462879,PC51
0.989751007653161,PC52
0.989524467299753,PC53
0.989495590059432,PC54
0.987156340484951,PC55
0.98866117825626,PC56
0.990187115425724,PC57
0.991202645005045,PC58
0.992457301346533,PC59
0.994434415134777,PC60
0.993152787432359,PC61
0.994511130640053,PC62
0.995466174812315,PC63
0.99658086341184,PC64
0.995129603192561,PC65
0.997786004140816,PC66
0.995098040788447,PC67
0.998261006806249,PC68
0.99804182089055,PC69
0.997526164113106,PC70
0.996972927158978,PC71
0.998100201179586,PC72
0.999760698692607,PC73
0.998909720471033,PC74
0.999769211059849,PC75
1.00010048012767,PC76
1.00030123362595,PC77
1.00046923075881,PC78
1.0001991923715,PC79
1.00097726937993,PC80
1.00037836426455,PC81
1.00176980284281,PC82
1.00273907390608,PC83
1.00054776359331,PC84
1.0003445582524,PC85
1.00163396694753,PC86
1.00216261790865,PC87
1.0033389934689,PC88
1.00232186930002,PC89
1.00116296398608,PC90
1.00076702327222,PC91
1.00204850956806,PC92
1.00350857341538,PC93
1.00219472555021,PC94
1.00167661743966,PC95
1.00368923277185,PC96
1.00302607241101,PC97
1.00375761832769,PC98
1.00357694790883,PC99
1.00597847037437,PC100
