Error,Type
0.0141149946159238,FGr
0.0132916872422253,PC1
0.0136109844448905,PC2
0.0298730189462165,PC3
0.0636050800583887,PC4
0.0653603916309497,PC5
0.0865509688939467,PC6
0.0892717229655529,PC7
0.159574830220194,PC8
0.164572693576352,PC9
0.170459610224734,PC10
0.195143257785086,PC11
0.203374785136459,PC12
0.282337793416055,PC13
0.293771760950983,PC14
0.300343220559727,PC15
0.314401068516494,PC16
0.33463501646693,PC17
0.353149651568498,PC18
0.389691324381697,PC19
0.410837365181284,PC20
0.430263183221028,PC21
0.444432020923888,PC22
0.461292218384501,PC23
0.480756968236318,PC24
0.5110970486907,PC25
0.567414148345563,PC26
0.598764713499301,PC27
0.631774467856353,PC28
0.666414643025032,PC29
0.742794528868844,PC30
0.767543634520721,PC31
0.826657598520766,PC32
0.867839811068271,PC33
0.882166644424453,PC34
0.912888579795612,PC35
0.920978584522588,PC36
0.926139456812852,PC37
0.938874471446835,PC38
0.943087816891231,PC39
0.942277047845703,PC40
0.957120835775188,PC41
0.958412579209605,PC42
0.963545917163119,PC43
0.962293312200353,PC44
0.970518466170347,PC45
0.971049060338622,PC46
0.971694990554319,PC47
0.974759279560418,PC48
0.976735081074387,PC49
0.977880805765128,PC50
0.978036725589502,PC51
0.979460890338505,PC52
0.977904105044523,PC53
0.97997348438054,PC54
0.980675103661338,PC55
0.982610464847434,PC56
0.984944681101894,PC57
0.9845076787042,PC58
0.986938639333706,PC59
0.986420200497258,PC60
0.986085894326821,PC61
0.986200344068651,PC62
0.987305653507357,PC63
0.988223866226996,PC64
0.988581577318991,PC65
0.989326889035158,PC66
0.990017437509362,PC67
0.989124345006892,PC68
0.992429064473564,PC69
0.991115986647675,PC70
0.989650701311277,PC71
0.992664439942603,PC72
0.993672556627429,PC73
0.99309294142818,PC74
0.993748030328662,PC75
0.994627201352447,PC76
0.993934929633435,PC77
0.993404329773377,PC78
0.994643713033375,PC79
0.995806218955866,PC80
0.996472003314193,PC81
0.995753982797367,PC82
0.997218212483318,PC83
0.997063868216413,PC84
0.997205185358681,PC85
0.999293211382659,PC86
0.996922860025055,PC87
0.997468117594141,PC88
0.998229725934724,PC89
0.998275640590305,PC90
0.999899912269395,PC91
0.99947190935888,PC92
0.997636794154948,PC93
0.999239039031666,PC94
0.999989353447264,PC95
0.999873561307057,PC96
0.999806507778185,PC97
0.999916291632696,PC98
1.00078960815728,PC99
1.00219688954118,PC100
