Error,Type
0.0538648849229695,FGr
0.0141743117431577,PC1
0.0145281912243253,PC2
0.0319884659627335,PC3
0.0681813973935608,PC4
0.0697491775297993,PC5
0.0919897964456156,PC6
0.0959231325483227,PC7
0.169756582432223,PC8
0.175963768041103,PC9
0.181612464969031,PC10
0.20637373796679,PC11
0.215597071288008,PC12
0.297611049509405,PC13
0.309737604700672,PC14
0.32040093536173,PC15
0.332261054712204,PC16
0.353574817920304,PC17
0.376501116132833,PC18
0.412941305928695,PC19
0.430835651802627,PC20
0.454660243175355,PC21
0.469477480926814,PC22
0.487277173842679,PC23
0.507185459144478,PC24
0.545844498447788,PC25
0.5921155212436,PC26
0.626877427564563,PC27
0.657787086804209,PC28
0.720265098685702,PC29
0.753989675870995,PC30
0.802642182251108,PC31
0.853369692469981,PC32
0.872251209837369,PC33
0.895611843026047,PC34
0.912195531991085,PC35
0.922998994967438,PC36
0.928488206290267,PC37
0.932530342341184,PC38
0.939888135096474,PC39
0.949962629397842,PC40
0.951968176109744,PC41
0.952897060035237,PC42
0.959814578401073,PC43
0.962770079576207,PC44
0.964596365960954,PC45
0.966884355002457,PC46
0.968865508316922,PC47
0.96979749344966,PC48
0.972276804042031,PC49
0.973104652212408,PC50
0.976938821605206,PC51
0.974612380777115,PC52
0.978640032372259,PC53
0.981042644613827,PC54
0.981118929410034,PC55
0.980169013560848,PC56
0.98041664003605,PC57
0.984084688860609,PC58
0.979822252421184,PC59
0.983932975436732,PC60
0.986606627870664,PC61
0.987396085645391,PC62
0.986390368746633,PC63
0.987372726381253,PC64
0.988449410580173,PC65
0.987733883411066,PC66
0.987503024893988,PC67
0.989326709515167,PC68
0.987015082171297,PC69
0.988944887692153,PC70
0.992798584853089,PC71
0.989641336875835,PC72
0.992511652992562,PC73
0.991781879548377,PC74
0.992090319577525,PC75
0.992234413684098,PC76
0.99272799101443,PC77
0.991991065725539,PC78
0.993873868914132,PC79
0.995020311760214,PC80
0.990427933056437,PC81
0.993596125197548,PC82
0.994312643091901,PC83
0.995402763888407,PC84
0.995701439715784,PC85
0.994489735984118,PC86
0.995403969829416,PC87
0.995857069142436,PC88
0.997629137429154,PC89
0.996459803325842,PC90
0.995182145873785,PC91
0.995568915069562,PC92
0.997751454284067,PC93
0.996942437076476,PC94
0.997509884226786,PC95
0.997640951972773,PC96
0.997847630856638,PC97
0.997781275248369,PC98
0.998326124283469,PC99
0.997941715625745,PC100
