Error,Type
0.124269562328241,FGr
0.0343941548194664,PC1
0.0358642941994427,PC2
0.0768664847319642,PC3
0.15707029577559,PC4
0.164238438223192,PC5
0.212205222036175,PC6
0.220390394439939,PC7
0.363867063402984,PC8
0.389202691078581,PC9
0.402320884544211,PC10
0.449550922580886,PC11
0.482035387716301,PC12
0.586981533104588,PC13
0.621145136131615,PC14
0.649473062726894,PC15
0.678454852959303,PC16
0.711167439983227,PC17
0.739938554158071,PC18
0.764251341355657,PC19
0.78823335052906,PC20
0.802189062570522,PC21
0.824394228153092,PC22
0.842533197408504,PC23
0.858910228758136,PC24
0.866740853088764,PC25
0.875366625985808,PC26
0.883341083038271,PC27
0.894566725202697,PC28
0.892790013202858,PC29
0.898449525508853,PC30
0.907820536328581,PC31
0.912728475308859,PC32
0.916211688508661,PC33
0.916733596809837,PC34
0.918109565705906,PC35
0.925307941728362,PC36
0.93035907057585,PC37
0.931620915835527,PC38
0.934145361091551,PC39
0.941795995666452,PC40
0.9430360098017,PC41
0.940661174973348,PC42
0.947814232605243,PC43
0.945915205909195,PC44
0.949482968637781,PC45
0.95235914824532,PC46
0.951836062784098,PC47
0.95129523414459,PC48
0.955597987028768,PC49
0.957790962542594,PC50
0.956075063574953,PC51
0.957516028657739,PC52
0.959593196940232,PC53
0.961763834253922,PC54
0.962172225001034,PC55
0.964599621970031,PC56
0.963658211468205,PC57
0.964783146742911,PC58
0.965399924331636,PC59
0.965975025632365,PC60
0.966602044610039,PC61
0.967218543868914,PC62
0.96990662825495,PC63
0.971313241022152,PC64
0.96913415189293,PC65
0.968958793575811,PC66
0.970211230306432,PC67
0.972897818333609,PC68
0.972003556765302,PC69
0.97369613234035,PC70
0.973739439770207,PC71
0.975138412294065,PC72
0.973591458198618,PC73
0.973083947709718,PC74
0.973422133586601,PC75
0.976509269187098,PC76
0.977781602841966,PC77
0.977371886971794,PC78
0.977709204952172,PC79
0.97804667102901,PC80
0.98014434129581,PC81
0.978001887119617,PC82
0.979339935359985,PC83
0.981203112659377,PC84
0.981505125755988,PC85
0.979454564392977,PC86
0.981325577118015,PC87
0.982535134703487,PC88
0.98181792377677,PC89
0.981846560051132,PC90
0.98056948580682,PC91
0.980469672652932,PC92
0.98309023951291,PC93
0.9827773559354,PC94
0.984418881402567,PC95
0.984559167325663,PC96
0.985243226854966,PC97
0.986291088386131,PC98
0.985155765528686,PC99
0.986744613949345,PC100
