Error,Type
0.0575717914524817,FGr
0.0151488459745418,PC1
0.0155424827521821,PC2
0.0341792889227254,PC3
0.0724275737420642,PC4
0.0745908790631278,PC5
0.0980185602393913,PC6
0.102801630764212,PC7
0.180100284331531,PC8
0.186789877374215,PC9
0.192246827810379,PC10
0.219073348581933,PC11
0.229956357792355,PC12
0.315440709056934,PC13
0.324651093868735,PC14
0.341366035094465,PC15
0.354045654704594,PC16
0.374025863373667,PC17
0.397845182301679,PC18
0.437640133260613,PC19
0.459671439707963,PC20
0.477714731860069,PC21
0.499214595718714,PC22
0.517653186195119,PC23
0.542466557723451,PC24
0.575164127392369,PC25
0.621989081576922,PC26
0.656041101282945,PC27
0.697333487910536,PC28
0.740718579664772,PC29
0.785216056505565,PC30
0.821790466177051,PC31
0.86329482788481,PC32
0.877861830252999,PC33
0.896403565452584,PC34
0.910859125393413,PC35
0.914706266869128,PC36
0.930548442893824,PC37
0.939630336974937,PC38
0.947665807623907,PC39
0.946113203154278,PC40
0.952350489997592,PC41
0.953792071132837,PC42
0.957751114708156,PC43
0.958226267198156,PC44
0.964817099067474,PC45
0.96710596012631,PC46
0.967600332908581,PC47
0.962365916500645,PC48
0.967970001839035,PC49
0.971850865399727,PC50
0.973631280585783,PC51
0.973870743784616,PC52
0.973655562918696,PC53
0.975474794684531,PC54
0.978733663797209,PC55
0.978725515915534,PC56
0.978117103933286,PC57
0.979531030854378,PC58
0.984252692440715,PC59
0.984888883832564,PC60
0.982009286594262,PC61
0.983747338532697,PC62
0.983318712207528,PC63
0.985848233721848,PC64
0.985497037591479,PC65
0.988861388171757,PC66
0.984967877210266,PC67
0.985517785212513,PC68
0.987614445796142,PC69
0.988544161869634,PC70
0.989267920642747,PC71
0.990233152841118,PC72
0.990708922753728,PC73
0.990296575715337,PC74
0.989658139001678,PC75
0.987814344819442,PC76
0.991400357120804,PC77
0.991303368336384,PC78
0.990572778417468,PC79
0.992558042820884,PC80
0.992651625192071,PC81
0.993543199086598,PC82
0.991791095981436,PC83
0.994491420260253,PC84
0.992292936435322,PC85
0.994043411335644,PC86
0.993750588830758,PC87
0.992702043043484,PC88
0.995963578023542,PC89
0.995240898489351,PC90
0.995926430405915,PC91
0.995473077047031,PC92
0.995331214577602,PC93
0.996843130531343,PC94
0.994618794116576,PC95
0.997069017383942,PC96
0.996729541221641,PC97
0.997483056396943,PC98
0.997845379886558,PC99
0.996933952583992,PC100
