Pop	avg_PRS	LAT	LONG
0	-0.402318042253238	0	0
1	-0.380452686535512	0	1
2	-0.348910676261392	0	2
3	-0.287817083881751	0	3
4	-0.221187369909579	0	4
5	-0.20259347712694	0	5
6	-0.344066829028231	1	0
7	-0.315967141680501	1	1
8	-0.256806257401554	1	2
9	-0.205494640466653	1	3
10	-0.134460095205904	1	4
11	-0.112618829395201	1	5
12	-0.226283397818442	2	0
13	-0.194922391875499	2	1
14	-0.100559528034326	2	2
15	-0.0370581209549857	2	3
16	0.0373117734383861	2	4
17	0.0804972005762358	2	5
18	-0.0949032693727731	3	0
19	-0.0759390883633399	3	1
20	0.0236757816015235	3	2
21	0.156075988013455	3	3
22	0.24249604059885	3	4
23	0.27829344710782	3	5
24	-0.0126292742015497	4	0
25	0.00744399196585134	4	1
26	0.155124946471742	4	2
27	0.309837115371519	4	3
28	0.373390453964126	4	4
29	0.456415746306738	4	5
30	0.0885083401321958	5	0
31	0.130037698789307	5	1
32	0.220295857790642	5	2
33	0.374003925881398	5	3
34	0.484423964451905	5	4
35	0.537155927305678	5	5
