	error	rep	config	gwas_size	test_size	L	type
1	0.981253932980461	C1	C1	1000	1000	500	FGr
2	0.934448943827867	C1	C1	1000	1000	1000	FGr
3	0.88971657623124	C1	C1	1000	1000	2000	FGr
4	0.795865649761189	C1	C1	1000	1000	3000	FGr
5	0.713707374894213	C1	C1	1000	1000	4000	FGr
6	0.707682511744075	C1	C1	1000	1000	5000	FGr
7	0.644282131090063	C1	C1	1000	1000	6000	FGr
8	0.598995265002226	C1	C1	1000	1000	7000	FGr
9	0.56961831130096	C1	C1	1000	1000	8000	FGr
10	0.550843181343885	C1	C1	1000	1000	9000	FGr
11	0.531684659204174	C1	C1	1000	1000	10000	FGr
12	0.997617623562902	C1	C1	1000	1000	500	PC1
13	0.999991339400736	C1	C1	1000	1000	1000	PC1
14	0.851543301950602	C1	C1	1000	1000	2000	PC1
15	0.698062620673734	C1	C1	1000	1000	3000	PC1
16	0.53816164302348	C1	C1	1000	1000	4000	PC1
17	0.419750873538278	C1	C1	1000	1000	5000	PC1
18	0.377667742331476	C1	C1	1000	1000	6000	PC1
19	0.336292906974659	C1	C1	1000	1000	7000	PC1
20	0.297206867769908	C1	C1	1000	1000	8000	PC1
21	0.258800819368018	C1	C1	1000	1000	9000	PC1
22	0.236148380760134	C1	C1	1000	1000	10000	PC1
