	error	rep	config	gwas_size	test_size	L	type
1	0.930066841799187	C3	C1	1000	1000	500	FGr
2	0.899742168618468	C3	C1	1000	1000	810	FGr
3	0.908573749026176	C3	C1	1000	1000	1320	FGr
4	0.834863685695008	C3	C1	1000	1000	2100	FGr
5	0.752079882151616	C3	C1	1000	1000	3400	FGr
6	0.631605516753213	C3	C1	1000	1000	5500	FGr
7	0.505389913154048	C3	C1	1000	1000	9000	FGr
8	0.383634290190824	C3	C1	1000	1000	14600	FGr
9	0.283922359173933	C3	C1	1000	1000	23600	FGr
10	0.205213254341927	C3	C1	1000	1000	38200	FGr
11	0.139129965883938	C3	C1	1000	1000	61800	FGr
12	0.083689691428591	C3	C1	1000	1000	1e+05	FGr
13	0.9968726075472	C3	C1	1000	1000	500	PC1
14	0.998217702775202	C3	C1	1000	1000	810	PC1
15	0.99331703047667	C3	C1	1000	1000	1320	PC1
16	0.97721654515673	C3	C1	1000	1000	2100	PC1
17	0.883885635004373	C3	C1	1000	1000	3400	PC1
18	0.561049206330895	C3	C1	1000	1000	5500	PC1
19	0.372517373550189	C3	C1	1000	1000	9000	PC1
20	0.256754862374493	C3	C1	1000	1000	14600	PC1
21	0.180369839374108	C3	C1	1000	1000	23600	PC1
22	0.113304398241785	C3	C1	1000	1000	38200	PC1
23	0.0753645417362276	C3	C1	1000	1000	61800	PC1
24	0.0464402130929689	C3	C1	1000	1000	1e+05	PC1
