	V1	error	rep	config	gwas_size	test_size	L	type
90	18	0.607000609947358	C4	C1	1000	1000	5500	PC1
91	19	0.430237935668901	C4	C1	1000	1000	9000	PC1
92	20	0.277187032736638	C4	C1	1000	1000	14600	PC1
93	21	0.180326857251895	C4	C1	1000	1000	23600	PC1
94	22	0.113421697829541	C4	C1	1000	1000	38200	PC1
95	23	0.0716398832110191	C4	C1	1000	1000	61800	PC1
96	24	0.0437101257663653	C4	C1	1000	1000	1e+05	PC1
97	1	0.996827018204331	C5	C1	1000	1000	500	FGr
98	2	0.987427448585695	C5	C1	1000	1000	810	FGr
99	3	0.990559442784511	C5	C1	1000	1000	1320	FGr
100	4	0.990656555319727	C5	C1	1000	1000	2100	FGr
101	5	0.970007193149708	C5	C1	1000	1000	3400	FGr
102	6	0.967727319679723	C5	C1	1000	1000	5500	FGr
103	7	0.898693163613689	C5	C1	1000	1000	9000	FGr
104	8	0.907069122754787	C5	C1	1000	1000	14600	FGr
105	9	0.846256026726671	C5	C1	1000	1000	23600	FGr
106	10	0.754190358046684	C5	C1	1000	1000	38200	FGr
107	11	0.724633092852444	C5	C1	1000	1000	61800	FGr
108	12	0.581243219690073	C5	C1	1000	1000	1e+05	FGr
109	13	0.996161038515769	C5	C1	1000	1000	500	PC1
110	14	0.997325587956866	C5	C1	1000	1000	810	PC1
111	15	0.979621533426443	C5	C1	1000	1000	1320	PC1
112	16	0.951509055721965	C5	C1	1000	1000	2100	PC1
113	17	0.797734225919891	C5	C1	1000	1000	3400	PC1
114	18	0.544695071166354	C5	C1	1000	1000	5500	PC1
115	19	0.371485191133722	C5	C1	1000	1000	9000	PC1
116	20	0.260112612483778	C5	C1	1000	1000	14600	PC1
117	21	0.164723858253767	C5	C1	1000	1000	23600	PC1
118	22	0.115232538314208	C5	C1	1000	1000	38200	PC1
119	23	0.0652797316517884	C5	C1	1000	1000	61800	PC1
120	24	0.0439367390427216	C5	C1	1000	1000	1e+05	PC1
121	1	0.992585437543525	C6	C1	1000	1000	500	FGr
122	2	0.999624327647703	C6	C1	1000	1000	810	FGr
123	3	0.989513188497218	C6	C1	1000	1000	1320	FGr
124	4	0.968811533170791	C6	C1	1000	1000	2100	FGr
125	5	0.959374475107697	C6	C1	1000	1000	3400	FGr
126	6	0.988867781334911	C6	C1	1000	1000	5500	FGr
127	7	0.905978600931625	C6	C1	1000	1000	9000	FGr
128	8	0.916574785977887	C6	C1	1000	1000	14600	FGr
129	9	0.843136975146259	C6	C1	1000	1000	23600	FGr
130	10	0.762215238616436	C6	C1	1000	1000	38200	FGr
131	11	0.682060962918239	C6	C1	1000	1000	61800	FGr
132	12	0.571055881287197	C6	C1	1000	1000	1e+05	FGr
133	13	0.998424638991782	C6	C1	1000	1000	500	PC1
134	14	0.997098543369427	C6	C1	1000	1000	810	PC1
135	15	0.986098539767214	C6	C1	1000	1000	1320	PC1
136	16	0.998038693914112	C6	C1	1000	1000	2100	PC1
137	17	0.799439361356409	C6	C1	1000	1000	3400	PC1
138	18	0.618260634424956	C6	C1	1000	1000	5500	PC1
139	19	0.42219204496215	C6	C1	1000	1000	9000	PC1
140	20	0.25510914611235	C6	C1	1000	1000	14600	PC1
141	21	0.174184352799067	C6	C1	1000	1000	23600	PC1
142	22	0.115747444557686	C6	C1	1000	1000	38200	PC1
143	23	0.067213480024418	C6	C1	1000	1000	61800	PC1
144	24	0.0423673226348139	C6	C1	1000	1000	1e+05	PC1
145	1	0.989037221499281	C7	C1	1000	1000	500	FGr
146	2	0.997366972609366	C7	C1	1000	1000	810	FGr
147	3	0.990241855351926	C7	C1	1000	1000	1320	FGr
148	4	0.994094705999764	C7	C1	1000	1000	2100	FGr
149	5	0.992603389796976	C7	C1	1000	1000	3400	FGr
150	6	0.949996991091296	C7	C1	1000	1000	5500	FGr
151	7	0.956253093492737	C7	C1	1000	1000	9000	FGr
152	8	0.924696918033376	C7	C1	1000	1000	14600	FGr
153	9	0.871382847490712	C7	C1	1000	1000	23600	FGr
154	10	0.820471656841867	C7	C1	1000	1000	38200	FGr
155	11	0.710242752174425	C7	C1	1000	1000	61800	FGr
156	12	0.589565988000049	C7	C1	1000	1000	1e+05	FGr
157	13	0.998720569331633	C7	C1	1000	1000	500	PC1
158	14	0.997126570066103	C7	C1	1000	1000	810	PC1
159	15	0.999065852759816	C7	C1	1000	1000	1320	PC1
160	16	0.909430463276433	C7	C1	1000	1000	2100	PC1
161	17	0.996128752622352	C7	C1	1000	1000	3400	PC1
162	18	0.694748541735469	C7	C1	1000	1000	5500	PC1
163	19	0.369333835444256	C7	C1	1000	1000	9000	PC1
164	20	0.283663994290445	C7	C1	1000	1000	14600	PC1
165	21	0.163072632145882	C7	C1	1000	1000	23600	PC1
166	22	0.101065728079491	C7	C1	1000	1000	38200	PC1
167	23	0.0713741085590451	C7	C1	1000	1000	61800	PC1
168	24	0.0431408503492222	C7	C1	1000	1000	1e+05	PC1
169	1	0.993125538563989	C8	C1	1000	1000	500	FGr
170	2	0.999071267380998	C8	C1	1000	1000	810	FGr
171	3	0.999871376240414	C8	C1	1000	1000	1320	FGr
172	4	0.982075862072285	C8	C1	1000	1000	2100	FGr
173	5	0.990475342485977	C8	C1	1000	1000	3400	FGr
174	6	0.961969346208708	C8	C1	1000	1000	5500	FGr
175	7	0.967606876489893	C8	C1	1000	1000	9000	FGr
176	8	0.910363339229935	C8	C1	1000	1000	14600	FGr
177	9	0.858711686662381	C8	C1	1000	1000	23600	FGr
178	10	0.814478979774879	C8	C1	1000	1000	38200	FGr
179	11	0.699884936957844	C8	C1	1000	1000	61800	FGr
180	12	0.632606654206246	C8	C1	1000	1000	1e+05	FGr
181	13	0.996890267795137	C8	C1	1000	1000	500	PC1
182	14	0.955092388178189	C8	C1	1000	1000	810	PC1
183	15	0.998030251370629	C8	C1	1000	1000	1320	PC1
184	16	0.994520045387297	C8	C1	1000	1000	2100	PC1
185	17	0.839992207416683	C8	C1	1000	1000	3400	PC1
186	18	0.626734212341989	C8	C1	1000	1000	5500	PC1
187	19	0.465645525688701	C8	C1	1000	1000	9000	PC1
188	20	0.246758331456621	C8	C1	1000	1000	14600	PC1
189	21	0.199407697658109	C8	C1	1000	1000	23600	PC1
190	22	0.113689394246263	C8	C1	1000	1000	38200	PC1
191	23	0.0700693484959952	C8	C1	1000	1000	61800	PC1
192	24	0.0441332085983285	C8	C1	1000	1000	1e+05	PC1
193	1	0.997415073248741	C9	C1	1000	1000	500	FGr
194	2	0.999758983508914	C9	C1	1000	1000	810	FGr
195	3	0.990925000779528	C9	C1	1000	1000	1320	FGr
196	4	0.994530622267443	C9	C1	1000	1000	2100	FGr
197	5	0.987813702203883	C9	C1	1000	1000	3400	FGr
198	6	0.96918183202529	C9	C1	1000	1000	5500	FGr
199	7	0.904255427419759	C9	C1	1000	1000	9000	FGr
200	8	0.937067312289063	C9	C1	1000	1000	14600	FGr
201	9	0.892096406480983	C9	C1	1000	1000	23600	FGr
202	10	0.818687358977231	C9	C1	1000	1000	38200	FGr
203	11	0.771354970580441	C9	C1	1000	1000	61800	FGr
204	12	0.618229325865399	C9	C1	1000	1000	1e+05	FGr
205	13	0.997786605614558	C9	C1	1000	1000	500	PC1
206	14	0.998707554075685	C9	C1	1000	1000	810	PC1
207	15	0.999988980463575	C9	C1	1000	1000	1320	PC1
208	16	0.996833411424992	C9	C1	1000	1000	2100	PC1
209	17	0.849340834039303	C9	C1	1000	1000	3400	PC1
210	18	0.580788789094357	C9	C1	1000	1000	5500	PC1
211	19	0.399066918581074	C9	C1	1000	1000	9000	PC1
212	20	0.280264050188894	C9	C1	1000	1000	14600	PC1
213	21	0.180235558557014	C9	C1	1000	1000	23600	PC1
214	22	0.106689052243515	C9	C1	1000	1000	38200	PC1
215	23	0.06925683571386	C9	C1	1000	1000	61800	PC1
216	24	0.040432759558846	C9	C1	1000	1000	1e+05	PC1
217	1	0.998065401747856	C10	C1	1000	1000	500	FGr
218	2	0.994430783519974	C10	C1	1000	1000	810	FGr
219	3	0.981976659390523	C10	C1	1000	1000	1320	FGr
220	4	0.979844607284116	C10	C1	1000	1000	2100	FGr
