Pop	avg_PRS	LAT	LONG
0	-0.0308553782545398	0	0
1	-0.0127179761082436	0	1
2	0.0174662248121689	0	2
3	0.0103972784153134	0	3
4	0.00246022521271155	0	4
5	-0.00879644094998563	0	5
6	0.0203736544693804	1	0
7	0.0179936204962518	1	1
8	-0.0178450963247968	1	2
9	-0.0155707888967487	1	3
10	-0.0273514659160846	1	4
11	0.00894744993576687	1	5
12	0.02662392084271	2	0
13	0.000350374006809938	2	1
14	0.0143969217809544	2	2
15	0.0041509046881488	2	3
16	-0.0174489010485214	2	4
17	-1.51433069747052e-05	2	5
18	-0.00101569900306842	3	0
19	0.000479588431593385	3	1
20	0.00575961781108273	3	2
21	0.0167266448936747	3	3
22	0.00106174034850046	3	4
23	0.0172211668469692	3	5
24	-0.0115358117605221	4	0
25	0.00114101901935117	4	1
26	-0.00591032900649733	4	2
27	-0.0237827026997608	4	3
28	-0.0403303746296335	4	4
29	0.0287878888443329	4	5
30	0.019846314099312	5	0
31	0.00913616763559467	5	1
32	0.0298146211660818	5	2
33	-0.0189747787592138	5	3
34	-0.0226517868603813	5	4
35	0.00166732976826353	5	5
