	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	0.05249185859	0.05249185859	0	0.166	0.153	0.05249185859	0.05249185859	1	300	A5	C1	1000	100	0	0.5	300	0
2	0.023768725874	0.023768725874	0	0.522	0.536	0.023768725874	0.023768725874	FGr	300	A5	C1	1000	100	0	0.5	300	0
3	0.03581698883	0.03581698883	0	0.288	0.322	0.03581698883	0.03581698883	NoCorrection	300	A5	C1	1000	100	0	0.5	300	0
4	0.048208267605	0.048208267605	0	0.198	0.181	0.048208267605	0.048208267605	ID	300	A5	C1	1000	100	0	0.5	300	0
5	-0.011390860593	-0.011390860593	0	0.806	0.795	-0.011390860593	-0.011390860593	1	300	A5	C1	1000	100	0	0.5	300	0.01
6	-0.037386184663	-0.037386184663	0	0.385	0.379	-0.037386184663	-0.037386184663	FGr	300	A5	C1	1000	100	0	0.5	300	0.01
7	-0.0190137351075	-0.0190137351075	0	0.662	0.648	-0.0190137351075	-0.0190137351075	NoCorrection	300	A5	C1	1000	100	0	0.5	300	0.01
8	-0.00768721504500001	-0.00768721504500004	0	0.867	0.861	-0.00768721504500001	-0.00768721504500004	ID	300	A5	C1	1000	100	0	0.5	300	0.01
9	-0.014454857475	-0.0144548574750001	0	0.713	0.683	-0.014454857475	-0.0144548574750001	1	300	A5	C1	1000	100	0	0.5	300	0.03
10	-0.01154270695	-0.01154270695	0	0.753	0.759	-0.01154270695	-0.01154270695	FGr	300	A5	C1	1000	100	0	0.5	300	0.03
11	-0.03450175267	-0.03450175267	0	0.335	0.373	-0.03450175267	-0.03450175267	NoCorrection	300	A5	C1	1000	100	0	0.5	300	0.03
12	-0.01156255562	-0.01156255562	0	0.781	0.788	-0.01156255562	-0.01156255562	ID	300	A5	C1	1000	100	0	0.5	300	0.03
13	-0.03895047999	-0.03895047999	0	0.325	0.372	-0.03895047999	-0.03895047999	1	300	A5	C1	1000	100	0	0.5	300	0.1
14	0.01155466518	0.01155466518	0	0.788	0.782	0.01155466518	0.01155466518	FGr	300	A5	C1	1000	100	0	0.5	300	0.1
15	0.015912515775	0.015912515775	0	0.702	0.729	0.015912515775	0.015912515775	NoCorrection	300	A5	C1	1000	100	0	0.5	300	0.1
16	-0.015298450625	-0.015298450625	0	0.704	0.728	-0.015298450625	-0.015298450625	ID	300	A5	C1	1000	100	0	0.5	300	0.1
17	-0.04722574245	-0.0679842244999999	0	0.256	0.323	-0.04722574245	-0.0679842244999999	1	1000	A5	C1	1000	100	0	0.5	300	0
18	-0.05417434002	-0.0776294479999999	0	0.216	0.243	-0.05417434002	-0.0776294479999999	FGr	1000	A5	C1	1000	100	0	0.5	300	0
19	-0.05590116688	-0.0873453009999999	0	0.168	0.213	-0.05590116688	-0.0873453009999999	NoCorrection	1000	A5	C1	1000	100	0	0.5	300	0
20	-0.05193361602	-0.0759679015	0	0.226	0.289	-0.05193361602	-0.0759679015	ID	1000	A5	C1	1000	100	0	0.5	300	0
21	-0.016383216605	-0.0222273865	0	0.668	0.712	-0.016383216605	-0.0222273865	1	1000	A5	C1	1000	100	0	0.5	300	0.01
22	0.01225740451	0.059746797	0	0.7	0.313	0.01225740451	0.059746797	FGr	1000	A5	C1	1000	100	0	0.5	300	0.01
23	0.019851626975	0.077068473	0	0.574	0.169	0.019851626975	0.077068473	NoCorrection	1000	A5	C1	1000	100	0	0.5	300	0.01
24	-0.01285310457	-0.0117218215	0	0.71	0.843	-0.01285310457	-0.0117218215	ID	1000	A5	C1	1000	100	0	0.5	300	0.01
25	0.032612602145	0.0209332825	0	0.462	0.747	0.032612602145	0.0209332825	1	1000	A5	C1	1000	100	0	0.5	300	0.03
26	0.0375125781615	0.028676472	0	0.401	0.663	0.0375125781615	0.028676472	FGr	1000	A5	C1	1000	100	0	0.5	300	0.03
27	0.03293799883	0.020708803	0	0.42	0.733	0.03293799883	0.020708803	NoCorrection	1000	A5	C1	1000	100	0	0.5	300	0.03
28	0.04007838176	0.0330336455	0	0.352	0.633	0.04007838176	0.0330336455	ID	1000	A5	C1	1000	100	0	0.5	300	0.03
29	-0.038212015105	0.0358295255	0	0.297	0.543	-0.038212015105	0.0358295255	1	1000	A5	C1	1000	100	0	0.5	300	0.1
30	-0.033455417285	0.0400514285000001	0	0.362	0.513	-0.033455417285	0.0400514285000001	FGr	1000	A5	C1	1000	100	0	0.5	300	0.1
31	-0.0126127439500001	0.067631918	0	0.735	0.247	-0.0126127439500001	0.067631918	NoCorrection	1000	A5	C1	1000	100	0	0.5	300	0.1
32	-0.043880159645	0.0198863700000001	0	0.221	0.731	-0.043880159645	0.0198863700000001	ID	1000	A5	C1	1000	100	0	0.5	300	0.1
33	-0.018163105935	-0.075747985	0	0.599	0.49	-0.018163105935	-0.075747985	1	10000	A5	C1	1000	100	0	0.5	300	0
34	-0.03292795459975	-0.142520775	0	0.347	0.174	-0.03292795459975	-0.142520775	FGr	10000	A5	C1	1000	100	0	0.5	300	0
35	-0.0805271164480001	-0.447322185	0	0.03	0	-0.0805271164480001	-0.447322185	NoCorrection	10000	A5	C1	1000	100	0	0.5	300	0
36	-0.01823258847	-0.090395105	0	0.614	0.388	-0.01823258847	-0.090395105	ID	10000	A5	C1	1000	100	0	0.5	300	0
37	-0.037168160865	0.113606538	0	0.354	0.292	-0.037168160865	0.113606538	1	10000	A5	C1	1000	100	0	0.5	300	0.01
38	-0.03830234248	0.127585902	0	0.32	0.228	-0.03830234248	0.127585902	FGr	10000	A5	C1	1000	100	0	0.5	300	0.01
39	-0.036115521705	0.12780808	0	0.382	0.234	-0.036115521705	0.12780808	NoCorrection	10000	A5	C1	1000	100	0	0.5	300	0.01
40	-0.039904202447	0.12249482	0	0.319	0.223	-0.039904202447	0.12249482	ID	10000	A5	C1	1000	100	0	0.5	300	0.01
41	-0.03256093366	0.05445417	0	0.472	0.608	-0.03256093366	0.05445417	1	10000	A5	C1	1000	100	0	0.5	300	0.03
42	-0.02176135221	0.09751296	0	0.61	0.35	-0.02176135221	0.09751296	FGr	10000	A5	C1	1000	100	0	0.5	300	0.03
43	-0.0447654480095	-0.068351215	0	0.31	0.481	-0.0447654480095	-0.068351215	NoCorrection	10000	A5	C1	1000	100	0	0.5	300	0.03
44	-0.02486729642	0.0840679999999999	0	0.589	0.434	-0.02486729642	0.0840679999999999	ID	10000	A5	C1	1000	100	0	0.5	300	0.03
45	-0.00382732617499998	-0.0545376789999999	0	0.921	0.606	-0.00382732617499998	-0.0545376789999999	1	10000	A5	C1	1000	100	0	0.5	300	0.1
46	-0.00774022454	-0.072877198	0	0.844	0.501	-0.00774022454	-0.072877198	FGr	10000	A5	C1	1000	100	0	0.5	300	0.1
47	0.0692701618100001	0.4034516115	0	0.104	0	0.0692701618100001	0.4034516115	NoCorrection	10000	A5	C1	1000	100	0	0.5	300	0.1
48	-0.00699199410749998	-0.0586023334999998	0	0.855	0.583	-0.00699199410749998	-0.0586023334999998	ID	10000	A5	C1	1000	100	0	0.5	300	0.1
49	-0.045278412572	-0.045278412572	0	0.108	0.102	-0.045278412572	-0.045278412572	1	300	A5	C1	1000	1000	0	0.5	300	0
50	-0.0740485287535	-0.0740485287535	0	0.009	0.005	-0.0740485287535	-0.0740485287535	FGr	300	A5	C1	1000	1000	0	0.5	300	0
51	-0.0875630463069999	-0.0875630463069999	0	0	0	-0.0875630463069999	-0.0875630463069999	NoCorrection	300	A5	C1	1000	1000	0	0.5	300	0
52	-0.0599057093015	-0.0599057093015	0	0.034	0.035	-0.0599057093015	-0.0599057093015	ID	300	A5	C1	1000	1000	0	0.5	300	0
53	0.0223142373785001	0.0223142373785	0	0.396	0.391	0.0223142373785001	0.0223142373785	1	300	A5	C1	1000	1000	0	0.5	300	0.01
54	0.0372750064405	0.0372750064405	0	0.158	0.151	0.0372750064405	0.0372750064405	FGr	300	A5	C1	1000	1000	0	0.5	300	0.01
55	0.0427001109950651	0.0427001109950651	0	0.105	0.114	0.0427001109950651	0.0427001109950651	NoCorrection	300	A5	C1	1000	1000	0	0.5	300	0.01
56	0.0150920438729999	0.0150920438729999	0	0.573	0.55	0.0150920438729999	0.0150920438729999	ID	300	A5	C1	1000	1000	0	0.5	300	0.01
57	0.0210004327810002	0.0210004327810002	0	0.38	0.39	0.0210004327810002	0.0210004327810002	1	300	A5	C1	1000	1000	0	0.5	300	0.03
58	0.051520098098	0.051520098098	0	0.039	0.038	0.051520098098	0.051520098098	FGr	300	A5	C1	1000	1000	0	0.5	300	0.03
59	0.042834730394	0.042834730394	0	0.07	0.065	0.042834730394	0.042834730394	NoCorrection	300	A5	C1	1000	1000	0	0.5	300	0.03
60	0.0200222905129001	0.0200222905129001	0	0.403	0.396	0.0200222905129001	0.0200222905129001	ID	300	A5	C1	1000	1000	0	0.5	300	0.03
61	-0.0557022611524997	-0.0557022611524998	0	0.07	0.1	-0.0557022611524997	-0.0557022611524998	1	300	A5	C1	1000	1000	0	0.5	300	0.1
62	-0.0689523074449998	-0.0689523074449998	0	0.015	0.021	-0.0689523074449998	-0.0689523074449998	FGr	300	A5	C1	1000	1000	0	0.5	300	0.1
63	-0.06719641301	-0.0671964130099999	0	0.021	0.022	-0.06719641301	-0.0671964130099999	NoCorrection	300	A5	C1	1000	1000	0	0.5	300	0.1
64	-0.0564948525455	-0.0564948525455	0	0.062	0.061	-0.0564948525455	-0.0564948525455	ID	300	A5	C1	1000	1000	0	0.5	300	0.1
65	-0.0176020298820001	-0.03351323885	0	0.537	0.443	-0.0176020298820001	-0.03351323885	1	1000	A5	C1	1000	1000	0	0.5	300	0
66	-0.0385249723399999	-0.1018175456	0	0.154	0.015	-0.0385249723399999	-0.1018175456	FGr	1000	A5	C1	1000	1000	0	0.5	300	0
67	-0.0345190538280001	-0.0885385777500003	0	0.229	0.038	-0.0345190538280001	-0.0885385777500003	NoCorrection	1000	A5	C1	1000	1000	0	0.5	300	0
68	-0.02279910980375	-0.0554274699499998	0	0.416	0.198	-0.02279910980375	-0.0554274699499998	ID	1000	A5	C1	1000	1000	0	0.5	300	0
69	0.0342837222580001	0.0327533049	0	0.177	0.487	0.0342837222580001	0.0327533049	1	1000	A5	C1	1000	1000	0	0.5	300	0.01
70	0.0258782600345001	0.0111878456000001	0	0.367	0.828	0.0258782600345001	0.0111878456000001	FGr	1000	A5	C1	1000	1000	0	0.5	300	0.01
71	0.0243602766389999	0.00861367044999991	0	0.355	0.854	0.0243602766389999	0.00861367044999991	NoCorrection	1000	A5	C1	1000	1000	0	0.5	300	0.01
72	0.0265107782829999	0.0133582975	0	0.318	0.795	0.0265107782829999	0.0133582975	ID	1000	A5	C1	1000	1000	0	0.5	300	0.01
73	-0.0235989484790001	0.00511132544999965	0	0.368	0.904	-0.0235989484790001	0.00511132544999965	1	1000	A5	C1	1000	1000	0	0.5	300	0.03
74	-0.00149894057449995	0.0468483482500004	0	0.965	0.286	-0.00149894057449995	0.0468483482500004	FGr	1000	A5	C1	1000	1000	0	0.5	300	0.03
75	-0.0108603049414999	0.0314117505500003	0	0.68	0.45	-0.0108603049414999	0.0314117505500003	NoCorrection	1000	A5	C1	1000	1000	0	0.5	300	0.03
76	-0.0282095221090001	0.000898064850000108	0	0.268	0.978	-0.0282095221090001	0.000898064850000108	ID	1000	A5	C1	1000	1000	0	0.5	300	0.03
77	0.0112046734971999	-0.0251903280999999	0	0.72	0.61	0.0112046734971999	-0.0251903280999999	1	1000	A5	C1	1000	1000	0	0.5	300	0.1
78	0.031825422637	0.0224006399000001	0	0.289	0.634	0.031825422637	0.0224006399000001	FGr	1000	A5	C1	1000	1000	0	0.5	300	0.1
79	0.0814433049355	0.1524378018	0	0.004	0.001	0.0814433049355	0.1524378018	NoCorrection	1000	A5	C1	1000	1000	0	0.5	300	0.1
80	0.0163393985105	-0.00545938380000004	0	0.567	0.905	0.0163393985105	-0.00545938380000004	ID	1000	A5	C1	1000	1000	0	0.5	300	0.1
81	0.0317240183949999	0.03007459645	0	0.24	0.666	0.0317240183949999	0.03007459645	1	10000	A5	C1	1000	1000	0	0.5	300	0
82	0.034434376587	0.0469254080999998	0	0.211	0.479	0.034434376587	0.0469254080999998	FGr	10000	A5	C1	1000	1000	0	0.5	300	0
83	0.024917468755	-0.0264534823	0	0.385	0.701	0.024917468755	-0.0264534823	NoCorrection	10000	A5	C1	1000	1000	0	0.5	300	0
84	0.030731752265	0.0154320793499999	0	0.284	0.832	0.030731752265	0.0154320793499999	ID	10000	A5	C1	1000	1000	0	0.5	300	0
85	-0.019037608291	-0.0587909285000005	0	0.491	0.382	-0.019037608291	-0.0587909285000005	1	10000	A5	C1	1000	1000	0	0.5	300	0.01
86	-0.00957290811749999	-0.00593143549999994	0	0.728	0.927	-0.00957290811749999	-0.00593143549999994	FGr	10000	A5	C1	1000	1000	0	0.5	300	0.01
87	-0.0254872036124999	-0.1211192955	0	0.334	0.089	-0.0254872036124999	-0.1211192955	NoCorrection	10000	A5	C1	1000	1000	0	0.5	300	0.01
88	-0.015210806085	-0.0266102799999998	0	0.591	0.678	-0.015210806085	-0.0266102799999998	ID	10000	A5	C1	1000	1000	0	0.5	300	0.01
89	0.00918339970500002	-0.0875460005000005	0	0.744	0.219	0.00918339970500002	-0.0875460005000005	1	10000	A5	C1	1000	1000	0	0.5	300	0.03
90	0.0139399761334999	-0.0519768105000001	0	0.618	0.501	0.0139399761334999	-0.0519768105000001	FGr	10000	A5	C1	1000	1000	0	0.5	300	0.03
91	0.016203202307	-0.0244059668	0	0.551	0.732	0.016203202307	-0.0244059668	NoCorrection	10000	A5	C1	1000	1000	0	0.5	300	0.03
92	0.01014348888605	-0.0891122500000002	0	0.7	0.218	0.01014348888605	-0.0891122500000002	ID	10000	A5	C1	1000	1000	0	0.5	300	0.03
93	-2.52912989999907e-05	0.03831156595	0	0.999	0.606	-2.52912989999907e-05	0.03831156595	1	10000	A5	C1	1000	1000	0	0.5	300	0.1
94	-0.00603616777	-0.01357030445	0	0.819	0.841	-0.00603616777	-0.01357030445	FGr	10000	A5	C1	1000	1000	0	0.5	300	0.1
95	-0.015608973308	-0.0921623238500002	0	0.566	0.2	-0.015608973308	-0.0921623238500002	NoCorrection	10000	A5	C1	1000	1000	0	0.5	300	0.1
96	-0.00364341199100002	0.01442976385	0	0.895	0.851	-0.00364341199100002	0.01442976385	ID	10000	A5	C1	1000	1000	0	0.5	300	0.1
97	0.00904820849568989	0.00904820849568991	0	0.691	0.713	0.00904820849568989	0.00904820849568991	1	300	A5	C1	1000	10000	0	0.5	300	0
98	0.0484503315875301	0.04845033158753	0	0.049	0.036	0.0484503315875301	0.04845033158753	FGr	300	A5	C1	1000	10000	0	0.5	300	0
99	0.03430121817515	0.03430121817515	0	0.16	0.128	0.03430121817515	0.03430121817515	NoCorrection	300	A5	C1	1000	10000	0	0.5	300	0
100	0.0439812714783	0.0439812714783	0	0.08	0.085	0.0439812714783	0.0439812714783	ID	300	A5	C1	1000	10000	0	0.5	300	0
101	-0.0313409431618502	-0.0313409431618502	0	0.275	0.229	-0.0313409431618502	-0.0313409431618502	1	300	A5	C1	1000	10000	0	0.5	300	0.01
102	-0.0408622746777499	-0.0408622746777499	0	0.13	0.133	-0.0408622746777499	-0.0408622746777499	FGr	300	A5	C1	1000	10000	0	0.5	300	0.01
103	-0.02753225051066	-0.02753225051066	0	0.327	0.287	-0.02753225051066	-0.02753225051066	NoCorrection	300	A5	C1	1000	10000	0	0.5	300	0.01
104	-0.03252546315595	-0.03252546315595	0	0.234	0.247	-0.03252546315595	-0.03252546315595	ID	300	A5	C1	1000	10000	0	0.5	300	0.01
105	0.0186213419043	0.0186213419043	0	0.521	0.526	0.0186213419043	0.0186213419043	1	300	A5	C1	1000	10000	0	0.5	300	0.03
106	0.0770535955347499	0.0770535955347499	0	0.009	0.007	0.0770535955347499	0.0770535955347499	FGr	300	A5	C1	1000	10000	0	0.5	300	0.03
107	0.06997336929075	0.06997336929075	0	0.021	0.016	0.06997336929075	0.06997336929075	NoCorrection	300	A5	C1	1000	10000	0	0.5	300	0.03
108	0.0231911539996001	0.0231911539996001	0	0.455	0.42	0.0231911539996001	0.0231911539996001	ID	300	A5	C1	1000	10000	0	0.5	300	0.03
109	-0.0383005773954498	-0.0383005773954498	0	0.158	0.135	-0.0383005773954498	-0.0383005773954498	1	300	A5	C1	1000	10000	0	0.5	300	0.1
110	-0.0446382795623701	-0.04463827956237	0	0.1	0.106	-0.0446382795623701	-0.04463827956237	FGr	300	A5	C1	1000	10000	0	0.5	300	0.1
111	-0.00515399906992463	-0.00515399906992463	0	0.852	0.826	-0.00515399906992463	-0.00515399906992463	NoCorrection	300	A5	C1	1000	10000	0	0.5	300	0.1
112	-0.0487481636466595	-0.0487481636466595	0	0.081	0.061	-0.0487481636466595	-0.0487481636466595	ID	300	A5	C1	1000	10000	0	0.5	300	0.1
113	0.00178944545750028	0.0564550373500003	0	0.955	0.216	0.00178944545750028	0.0564550373500003	1	1000	A5	C1	1000	10000	0	0.5	300	0
114	0.00440860586250018	0.0644035367500011	0	0.872	0.165	0.00440860586250018	0.0644035367500011	FGr	1000	A5	C1	1000	10000	0	0.5	300	0
115	0.0033004188597002	0.0605191540299998	0	0.92	0.194	0.0033004188597002	0.0605191540299998	NoCorrection	1000	A5	C1	1000	10000	0	0.5	300	0
116	0.00790919643760007	0.0656176758099999	0	0.804	0.134	0.00790919643760007	0.0656176758099999	ID	1000	A5	C1	1000	10000	0	0.5	300	0
117	-0.00821269745470006	0.032953867815	0	0.765	0.404	-0.00821269745470006	0.032953867815	1	1000	A5	C1	1000	10000	0	0.5	300	0.01
118	0.000822143890679851	0.0440957060149999	0	0.972	0.299	0.000822143890679851	0.0440957060149999	FGr	1000	A5	C1	1000	10000	0	0.5	300	0.01
119	0.00794661509714998	0.0607740367999996	0	0.763	0.141	0.00794661509714998	0.0607740367999996	NoCorrection	1000	A5	C1	1000	10000	0	0.5	300	0.01
120	0.00352364919045019	0.0515782381150001	0	0.879	0.196	0.00352364919045019	0.0515782381150001	ID	1000	A5	C1	1000	10000	0	0.5	300	0.01
121	0.0180956127231499	-0.00660033903999981	0	0.547	0.895	0.0180956127231499	-0.00660033903999981	1	1000	A5	C1	1000	10000	0	0.5	300	0.03
122	0.0265156886358801	0.00976473838499996	0	0.379	0.834	0.0265156886358801	0.00976473838499996	FGr	1000	A5	C1	1000	10000	0	0.5	300	0.03
123	0.0150060571055152	-0.0112897609799999	0	0.623	0.775	0.0150060571055152	-0.0112897609799999	NoCorrection	1000	A5	C1	1000	10000	0	0.5	300	0.03
124	0.0117855776112002	-0.01519081789	0	0.701	0.732	0.0117855776112002	-0.01519081789	ID	1000	A5	C1	1000	10000	0	0.5	300	0.03
125	0.0189590621695007	0.070593449615	0	0.495	0.129	0.0189590621695007	0.070593449615	1	1000	A5	C1	1000	10000	0	0.5	300	0.1
126	0.0413059628907195	0.12998035182	0	0.15	0.009	0.0413059628907195	0.12998035182	FGr	1000	A5	C1	1000	10000	0	0.5	300	0.1
127	0.0901564293739351	0.222782083675	0	0.001	0	0.0901564293739351	0.222782083675	NoCorrection	1000	A5	C1	1000	10000	0	0.5	300	0.1
128	0.0286263597032505	0.094866224855	0	0.309	0.031	0.0286263597032505	0.094866224855	ID	1000	A5	C1	1000	10000	0	0.5	300	0.1
129	0.0244405377395	-0.0966062131549999	0	0.315	0.098	0.0244405377395	-0.0966062131549999	1	10000	A5	C1	1000	10000	0	0.5	300	0
130	0.0232463787259498	-0.10853642751	0	0.35	0.078	0.0232463787259498	-0.10853642751	FGr	10000	A5	C1	1000	10000	0	0.5	300	0
131	0.00804498584469975	-0.18011876372	0	0.752	0.002	0.00804498584469975	-0.18011876372	NoCorrection	10000	A5	C1	1000	10000	0	0.5	300	0
132	0.0237473753710002	-0.0988334037799999	0	0.337	0.089	0.0237473753710002	-0.0988334037799999	ID	10000	A5	C1	1000	10000	0	0.5	300	0
