	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	0.05585557221	0.05585557221	0	0.105	0.093	0.05585557221	0.05585557221	1	300	A14	C1	1000	100	0	0.5	300	0
2	0.049791633355	0.049791633355	0	0.13	0.118	0.049791633355	0.049791633355	FGr	300	A14	C1	1000	100	0	0.5	300	0
3	0.0542923774100001	0.05429237741	0	0.093	0.095	0.0542923774100001	0.05429237741	NoCorrection	300	A14	C1	1000	100	0	0.5	300	0
4	0.051940100705	0.051940100705	0	0.127	0.095	0.051940100705	0.051940100705	ID	300	A14	C1	1000	100	0	0.5	300	0
5	-0.0278651847650001	-0.027865184765	0	0.402	0.432	-0.0278651847650001	-0.027865184765	1	300	A14	C1	1000	100	0	0.5	300	0.1
6	0.00638931602499995	0.0063893160249999	0	0.831	0.865	0.00638931602499995	0.0063893160249999	FGr	300	A14	C1	1000	100	0	0.5	300	0.1
7	0.000489155909999863	0.000489155910000099	0	0.99	0.985	0.000489155909999863	0.000489155910000099	NoCorrection	300	A14	C1	1000	100	0	0.5	300	0.1
8	-0.0278679657149999	-0.0278679657150001	0	0.433	0.411	-0.0278679657149999	-0.0278679657150001	ID	300	A14	C1	1000	100	0	0.5	300	0.1
9	-0.02582945454	-0.0258294545400001	0	0.512	0.522	-0.02582945454	-0.0258294545400001	1	300	A14	C1	1000	100	0	0.5	300	0.5
10	0.0957570853525	0.0957570853525	0	0.028	0.025	0.0957570853525	0.0957570853525	FGr	300	A14	C1	1000	100	0	0.5	300	0.5
11	0.15364784237	0.15364784237	0	0.001	0.002	0.15364784237	0.15364784237	NoCorrection	300	A14	C1	1000	100	0	0.5	300	0.5
12	-0.04807924698	-0.04807924698	0	0.218	0.207	-0.04807924698	-0.04807924698	ID	300	A14	C1	1000	100	0	0.5	300	0.5
13	-0.017093939223	-0.017093939223	0	0.646	0.68	-0.017093939223	-0.017093939223	1	300	A14	C1	1000	100	0	0.5	300	1
14	0.22398956	0.22398956	0	0	0	0.22398956	0.22398956	FGr	300	A14	C1	1000	100	0	0.5	300	1
15	0.3093735864	0.3093735864	0	0	0	0.3093735864	0.3093735864	NoCorrection	300	A14	C1	1000	100	0	0.5	300	1
16	-0.020172296774	-0.020172296774	0	0.617	0.589	-0.020172296774	-0.020172296774	ID	300	A14	C1	1000	100	0	0.5	300	1
17	-0.012695222135	0.0905642810000001	0	0.749	0.117	-0.012695222135	0.0905642810000001	1	1000	A14	C1	1000	100	0	0.5	300	0
18	-0.03165887073	0.0309004580000001	0	0.402	0.595	-0.03165887073	0.0309004580000001	FGr	1000	A14	C1	1000	100	0	0.5	300	0
19	-0.03743323704	0.019754527	0	0.351	0.729	-0.03743323704	0.019754527	NoCorrection	1000	A14	C1	1000	100	0	0.5	300	0
20	-0.01189366548	0.0924513955	0	0.769	0.131	-0.01189366548	0.0924513955	ID	1000	A14	C1	1000	100	0	0.5	300	0
21	-0.00233457196	0.0497827595000001	0	0.955	0.471	-0.00233457196	0.0497827595000001	1	1000	A14	C1	1000	100	0	0.5	300	0.1
22	0.0173526775	0.0803788469999999	0	0.702	0.231	0.0173526775	0.0803788469999999	FGr	1000	A14	C1	1000	100	0	0.5	300	0.1
23	0.03547130511	0.116518306	0	0.387	0.071	0.03547130511	0.116518306	NoCorrection	1000	A14	C1	1000	100	0	0.5	300	0.1
24	0.01372955741	0.0703883570000001	0	0.746	0.292	0.01372955741	0.0703883570000001	ID	1000	A14	C1	1000	100	0	0.5	300	0.1
25	0.00609105013999998	0.029372842	0	0.862	0.624	0.00609105013999998	0.029372842	1	1000	A14	C1	1000	100	0	0.5	300	0.5
26	0.108689290195	0.344472689	0	0.006	0	0.108689290195	0.344472689	FGr	1000	A14	C1	1000	100	0	0.5	300	0.5
27	0.2226465506	0.6418194935	0	0	0	0.2226465506	0.6418194935	NoCorrection	1000	A14	C1	1000	100	0	0.5	300	0.5
28	0.00276302037249998	0.042389667	0	0.956	0.487	0.00276302037249998	0.042389667	ID	1000	A14	C1	1000	100	0	0.5	300	0.5
29	-0.02450377253	0.0141295865	0	0.506	0.831	-0.02450377253	0.0141295865	1	1000	A14	C1	1000	100	0	0.5	300	1
30	0.1667457267	0.552471923	0	0	0	0.1667457267	0.552471923	FGr	1000	A14	C1	1000	100	0	0.5	300	1
31	0.37954191385	1.04649776	0	0	0	0.37954191385	1.04649776	NoCorrection	1000	A14	C1	1000	100	0	0.5	300	1
32	-0.02186222297	-0.0141172964999998	0	0.559	0.842	-0.02186222297	-0.0141172964999998	ID	1000	A14	C1	1000	100	0	0.5	300	1
33	-0.00961471724000006	0.0768363165	0	0.801	0.448	-0.00961471724000006	0.0768363165	1	10000	A14	C1	1000	100	0	0.5	300	0
34	-0.00706174527499996	0.117666169	0	0.848	0.239	-0.00706174527499996	0.117666169	FGr	10000	A14	C1	1000	100	0	0.5	300	0
35	-0.04999539451	-0.134050253	0	0.224	0.22	-0.04999539451	-0.134050253	NoCorrection	10000	A14	C1	1000	100	0	0.5	300	0
36	-0.0157579260350001	0.0595362455	0	0.707	0.543	-0.0157579260350001	0.0595362455	ID	10000	A14	C1	1000	100	0	0.5	300	0
37	0.024425581695	0.1003274	0	0.556	0.252	0.024425581695	0.1003274	1	10000	A14	C1	1000	100	0	0.5	300	0.1
38	0.0183124204150001	0.0599681700000001	0	0.68	0.517	0.0183124204150001	0.0599681700000001	FGr	10000	A14	C1	1000	100	0	0.5	300	0.1
39	0.0303666464499999	0.140528	0	0.442	0.114	0.0303666464499999	0.140528	NoCorrection	10000	A14	C1	1000	100	0	0.5	300	0.1
40	0.02583892087	0.10097872	0	0.544	0.273	0.02583892087	0.10097872	ID	10000	A14	C1	1000	100	0	0.5	300	0.1
41	0.0341497653405	0.0720966484999999	0	0.382	0.452	0.0341497653405	0.0720966484999999	1	10000	A14	C1	1000	100	0	0.5	300	0.5
42	0.050046197232	0.147802502	0	0.203	0.13	0.050046197232	0.147802502	FGr	10000	A14	C1	1000	100	0	0.5	300	0.5
